Frequency,Channel A,Channel C
(ms),(V),(V)

-250.12088251,0.36973510,0.13160790
-250.02088251,0.36314250,0.12947140
-249.92088251,0.35874740,0.12840310
-249.82088251,0.35215480,0.12626660
-249.72088252,0.34769870,0.12413010
-249.62088252,0.34330360,0.11769010
-249.52088252,0.33671100,0.11503480
-249.42088252,0.33341470,0.11289830
-249.32088253,0.32462460,0.11021240
-249.22088253,0.32022950,0.10700770
-249.12088253,0.31473570,0.10593940
-249.02088253,0.30808200,0.10377240
-248.92088254,0.30368700,0.10163590
-248.82088254,0.29709440,0.10004880
-248.72088254,0.29269930,0.09843120
-248.62088254,0.28720550,0.09736296
-248.52088255,0.28281040,0.09147234
-248.42088255,0.27621780,0.08878647
-248.32088255,0.27066290,0.08826761
-248.22088255,0.26407030,0.08558173
-248.12088256,0.25857650,0.08399463
-248.02088256,0.25418140,0.08130875
-247.92088256,0.24649000,0.08130875
-247.82088256,0.24099620,0.07541814
-247.72088257,0.23769990,0.07059577
-247.62088257,0.23104630,0.06790990
-247.52088257,0.22555240,0.06739104
-247.42088257,0.22115740,0.06632279
-247.32088258,0.21456480,0.06204981
-247.22088258,0.20797220,0.05936394
-247.12088258,0.20247830,0.05509095
-247.02088258,0.19808330,0.05667806
-246.92088259,0.19142960,0.05402271
-246.82088259,0.18593580,0.05185569
-246.72088259,0.18044190,0.04599560
-246.62088259,0.17494810,0.04489684
-246.52088260,0.16945430,0.04330973
-246.42088260,0.16286170,0.04224148
-246.32088260,0.15626910,0.03955561
-246.22088260,0.15291170,0.03955561
-246.12088261,0.14851670,0.03635087
-246.02088261,0.14082530,0.03207789
-245.92088261,0.13533150,0.03097912
-245.82088262,0.12983760,0.02939202
-245.72088262,0.12434380,0.02456965
-245.62088262,0.11994870,0.02295202
-245.52088262,0.11219630,0.02188377
-245.42088263,0.10890000,0.02029667
-245.32088263,0.10120860,0.01816018
-245.22088263,0.09571481,0.01709193
-245.12088263,0.09241851,0.01761079
-245.02088264,0.08472714,0.01654255
-244.92088264,0.07697473,0.01709193
-244.82088264,0.07477719,0.01440606
-244.72088264,0.06818459,0.01172018
-244.62088265,0.06269076,0.00851544
-244.52088265,0.05719692,0.00744720
-244.42088265,0.05280185,0.00582957
-244.32088265,0.04620925,0.00424246
-244.22088266,0.03961665,0.00317422
-244.12088266,0.03296301,0.00210597
-244.02088266,0.02856794,0.00262483
-243.92088266,0.02307411,-0.00006104
-243.82088267,0.01867904,-0.00006104
-243.72088267,0.01208644,-0.00164815
-243.62088267,0.00659260,-0.00164815
-243.52088267,0.00219753,-0.00271640
-243.42088268,-0.00225858,-0.00219753
-243.32088268,-0.00885118,-0.00326578
-243.22088268,-0.01544378,-0.00485289
-243.12088268,-0.02093761,-0.00485289
-243.02088269,-0.02643145,-0.00647052
-242.92088269,-0.03192528,-0.00701990
-242.82088269,-0.03741912,-0.00808815
-242.72088269,-0.04407276,-0.00860701
-242.62088270,-0.04846783,-0.01074350
-242.52088270,-0.05396166,-0.01022464
-242.42088270,-0.05945550,-0.01236113
-242.32088270,-0.06494933,-0.01236113
-242.22088271,-0.07044317,-0.01181174
-242.12088271,-0.07703577,-0.01397876
-242.02088271,-0.08039311,-0.01556586
-241.92088271,-0.08588695,-0.01611525
-241.82088272,-0.09247955,-0.01718349
-241.72088272,-0.09797338,-0.01877060
-241.62088272,-0.10236850,-0.01877060
-241.52088272,-0.10676350,-0.02038823
-241.42088273,-0.11225740,-0.02145648
-241.32088273,-0.12000980,-0.02307411
-241.22088273,-0.12330610,-0.02359297
-241.12088273,-0.12989870,-0.02572946
-241.02088274,-0.13649130,-0.02627884
-240.92088274,-0.13978760,-0.02786595
-240.82088274,-0.14418260,-0.02948358
-240.72088274,-0.14857770,-0.03003296
-240.62088275,-0.15517030,-0.03268832
-240.52088275,-0.16182400,-0.03323770
-240.42088275,-0.16621900,-0.03592357
-240.32088275,-0.17061410,-0.03592357
-240.22088276,-0.17500920,-0.03751068
-240.12088276,-0.18160180,-0.03964717
-240.02088276,-0.18709560,-0.04071542
-239.92088276,-0.19149070,-0.04126480
-239.82088277,-0.19704550,-0.04233305
-239.72088277,-0.20144060,-0.04285191
-239.62088277,-0.20803320,-0.04340129
-239.52088277,-0.21242830,-0.04608717
-239.42088278,-0.21682330,-0.04660603
-239.32088278,-0.22341590,-0.04874252
-239.22088278,-0.22781100,-0.04981077
-239.12088278,-0.23220610,-0.05036015
-239.02088279,-0.23776100,-0.05142840
-238.92088279,-0.24215600,-0.05304603
-238.82088279,-0.24874860,-0.05518252
