Frequency,Channel A,Channel B,Channel C
(ms),(V),(mV),(mV)

-100.03013164,1.14668500,115.79170000,114.80890000
-100.01013164,1.14668500,116.56090000,115.24840000
-99.99013164,1.14558700,116.56090000,116.12140000
-99.97013164,1.14668500,116.45100000,117.10410000
-99.95013164,1.14778400,117.76340000,117.53750000
-99.93013164,1.14888300,116.78060000,116.01150000
-99.91013164,1.14888300,115.79170000,115.90160000
-99.89013164,1.14888300,117.00040000,117.20790000
-99.87013164,1.14888300,115.46820000,116.44490000
-99.85013164,1.15108000,116.12140000,113.93600000
-99.83013164,1.14888300,114.80890000,112.73350000
-99.81013164,1.14998200,114.69910000,113.82610000
-99.79013164,1.14998200,115.90160000,114.80890000
-99.77013164,1.14888300,115.90160000,114.80890000
-99.75013165,1.14998200,115.24840000,114.91880000
-99.73013165,1.15217900,115.79170000,115.24840000
-99.71013165,1.14998200,116.23120000,116.99430000
-99.69013165,1.15217900,117.32390000,117.64740000
-99.67013165,1.15217900,117.32390000,116.77450000
-99.65013165,1.15217900,117.21400000,116.77450000
-99.63013165,1.15217900,116.78060000,116.23120000
-99.61013165,1.15327800,118.41660000,117.86720000
-99.59013165,1.15327800,118.09300000,118.19070000
-99.57013165,1.15327800,117.98310000,115.90160000
-99.55013165,1.15547500,117.32390000,116.44490000
-99.53013165,1.15547500,117.54360000,116.99430000
-99.51013165,1.15437700,117.76340000,117.20790000
-99.49013165,1.15437700,117.87330000,118.41040000
-99.47013165,1.15547500,119.07580000,119.83270000
-99.45013165,1.15657400,118.20290000,117.64740000
-99.43013165,1.15547500,118.20290000,117.20790000
-99.41013165,1.15657400,118.09300000,118.63020000
-99.39013165,1.15767300,118.63630000,118.41040000
-99.37013165,1.15767300,118.63630000,118.85000000
-99.35013166,1.15877200,119.61910000,118.85000000
-99.33013166,1.15767300,119.07580000,117.64740000
-99.31013166,1.15767300,118.85610000,117.86720000
-99.29013166,1.15877200,119.18570000,118.52030000
-99.27013166,1.15767300,120.49810000,120.26610000
-99.25013166,1.15877200,119.83890000,119.93650000
-99.23013166,1.15877200,120.16850000,120.15630000
-99.21013166,1.16096900,120.71790000,124.85040000
-99.19013166,1.16096900,119.51530000,119.72290000
-99.17013166,1.16206800,119.51530000,118.95980000
-99.15013166,1.16206800,119.61910000,118.41040000
-99.13013166,1.16316700,119.72900000,119.72290000
-99.11013166,1.16096900,118.74620000,117.86720000
-99.09013166,1.16206800,120.93150000,119.50310000
-99.07013166,1.16316700,120.82160000,120.15630000
-99.05013166,1.16206800,120.93150000,120.48590000
-99.03013166,1.16206800,121.26110000,119.83270000
-99.01013166,1.16426600,120.27840000,118.30060000
-98.99013166,1.16426600,118.52640000,118.08080000
-98.97013166,1.16426600,119.07580000,117.31780000
-98.95013167,1.16536400,119.61910000,117.64740000
-98.93013167,1.16536400,118.74620000,118.41040000
-98.91013167,1.16426600,119.18570000,118.63020000
-98.89013167,1.16536400,118.41660000,118.19070000
-98.87013167,1.16426600,118.52640000,117.31780000
-98.85013167,1.16536400,118.63630000,116.12140000
-98.83013167,1.16426600,117.32390000,116.12140000
-98.81013167,1.16762300,117.32390000,116.44490000
-98.79013167,1.16536400,117.87330000,117.75730000
-98.77013167,1.16652400,118.41660000,118.41040000
-98.75013167,1.16762300,119.83890000,122.34160000
-98.73013167,1.16762300,120.93150000,120.70570000
-98.71013167,1.16762300,120.93150000,121.13910000
-98.69013167,1.16872200,121.59080000,122.88490000
-98.67013167,1.16982100,122.90320000,121.68230000
-98.65013167,1.16872200,121.48090000,120.59580000
-98.63013167,1.16982100,121.04140000,118.74010000
-98.61013167,1.16982100,120.16850000,117.86720000
-98.59013167,1.16872200,121.70060000,119.93650000
-98.57013167,1.16982100,120.05860000,119.28340000
-98.55013168,1.17091900,121.04140000,120.70570000
-98.53013168,1.16982100,119.83890000,119.72290000
-98.51013168,1.17091900,120.38820000,119.17350000
-98.49013168,1.17201800,119.83890000,119.72290000
-98.47013168,1.17201800,120.05860000,118.95980000
-98.45013168,1.17091900,120.16850000,118.41040000
-98.43013168,1.17091900,122.03030000,121.57860000
-98.41013168,1.17201800,121.81050000,121.35880000
-98.39013168,1.17091900,121.15130000,120.70570000
-98.37013168,1.17421600,121.92040000,120.91930000
-98.35013168,1.17531400,120.60800000,117.86720000
-98.33013168,1.17421600,121.81050000,119.93650000
-98.31013168,1.17311700,122.90320000,122.88490000
-98.29013168,1.17421600,122.24390000,122.56130000
-98.27013168,1.17531400,122.68340000,122.12180000
-98.25013168,1.17531400,122.68340000,122.12180000
-98.23013168,1.17531400,123.01310000,122.45150000
-98.21013168,1.17531400,122.79330000,121.46870000
-98.19013168,1.17641300,122.90320000,121.02920000
-98.17013169,1.17531400,123.77610000,122.99480000
-98.15013169,1.17531400,123.88600000,122.88490000
-98.13013169,1.17641300,123.99580000,122.56130000
-98.11013169,1.17751200,123.99580000,123.10460000
-98.09013169,1.17641300,124.97860000,126.26660000
-98.07013169,1.17751200,124.75890000,125.83320000
-98.05013169,1.17531400,124.43530000,123.32440000
-98.03013169,1.17751200,123.44650000,127.90870000
-98.01013169,1.17641300,124.32550000,125.07020000
-97.99013169,1.17751200,123.77610000,123.32440000
-97.97013169,1.17861100,123.99580000,123.64790000
-97.95013169,1.17861100,124.21560000,122.77500000
