Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-2.50117427,0.01208644,0.05371749,0.08387254
-2.50017427,0.00549384,0.04169210,0.07190819
-2.49917427,-0.00115981,0.03180320,0.06098156
-2.49817427,-0.00885118,0.02081553,0.05335124
-2.49717427,-0.01324625,0.01092663,0.04242461
-2.49617427,-0.02093761,0.00000000,0.03259675
-2.49517427,-0.02533268,-0.00988890,0.02063240
-2.49417427,-0.03192528,-0.01867904,0.01080454
-2.49317427,-0.03967769,-0.02966671,0.00097668
-2.49217427,-0.04407276,-0.04065438,-0.00988890
-2.49117427,-0.04956660,-0.05048224,-0.01971676
-2.49017427,-0.05725797,-0.06037114,-0.03064339
-2.48917427,-0.06275180,-0.07245757,-0.04047125
-2.48817427,-0.07044317,-0.08124771,-0.05133683
-2.48717427,-0.07483824,-0.09217434,-0.06116469
-2.48617427,-0.08149188,-0.10426080,-0.07099255
-2.48517427,-0.08588695,-0.11305090,-0.08191918
-2.48417427,-0.09467708,-0.12184100,-0.09278476
-2.48317427,-0.09907215,-0.13386640,-0.10261260
-2.48217427,-0.10676350,-0.14265660,-0.11353920
-2.48117427,-0.11115860,-0.15364420,-0.12226830
-2.48017427,-0.11781220,-0.16353320,-0.13203520
-2.47917427,-0.12550360,-0.17445980,-0.14296180
-2.47817427,-0.13209620,-0.18324990,-0.15388840
-2.47717427,-0.13649130,-0.19313880,-0.16475400
-2.47617427,-0.14308390,-0.20412650,-0.17458190
-2.47517427,-0.14857770,-0.21401540,-0.18440970
-2.47417427,-0.15633010,-0.22494200,-0.19533630
-2.47317427,-0.15962640,-0.23592970,-0.20620190
-2.47217427,-0.16621900,-0.24471980,-0.21493100
-2.47117427,-0.17281160,-0.25460870,-0.22585760
-2.47017427,-0.17830540,-0.26553540,-0.23782200
-2.46917427,-0.18489800,-0.27432550,-0.24551340
-2.46817427,-0.19039190,-0.28641190,-0.25637890
-2.46717427,-0.19704550,-0.29410330,-0.26620680
-2.46617427,-0.20253940,-0.30502990,-0.27603470
-2.46517427,-0.20913200,-0.31491880,-0.28690030
-2.46417427,-0.21572460,-0.32480770,-0.29562940
-2.46317427,-0.22011960,-0.33469660,-0.30545720
-2.46217427,-0.22671220,-0.34348680,-0.31638380
-2.46117427,-0.23220610,-0.35221580,-0.32621170
-2.46017427,-0.23995850,-0.36540100,-0.33494080
-2.45917427,-0.24325480,-0.37309240,-0.34580640
-2.45817427,-0.25094620,-0.38298130,-0.35563420
-2.45717427,-0.25644000,-0.39390790,-0.36546210
-2.45617427,-0.26303260,-0.40379690,-0.37632770
-2.45517427,-0.26962520,-0.41258700,-0.38615550
-2.45417427,-0.27518010,-0.42137710,-0.39708210
-2.45317427,-0.28287140,-0.43230370,-0.40581130
-2.45217427,-0.28726650,-0.44329140,-0.41563910
-2.45117427,-0.29276030,-0.45208160,-0.42436820
-2.45017427,-0.29825420,-0.46197040,-0.43413500
-2.44917427,-0.30484680,-0.47185930,-0.44396290
-2.44817427,-0.31034060,-0.48278600,-0.45159320
-2.44717427,-0.31479670,-0.49157610,-0.46361860
-2.44617427,-0.32029060,-0.50036630,-0.47344650
-2.44517427,-0.33017950,-0.50805760,-0.48321330
-2.44417427,-0.33347580,-0.51898430,-0.49413990
-2.44317427,-0.33787080,-0.52887310,-0.50286900
-2.44217427,-0.34666100,-0.53656450,-0.51269690
-2.44117427,-0.35001830,-0.54645340,-0.52032720
-2.44017427,-0.35661090,-0.55414480,-0.52905630
-2.43917427,-0.36210470,-0.56287390,-0.53668660
-2.43817427,-0.36759860,-0.57276280,-0.54865100
-2.43717427,-0.37419120,-0.58155290,-0.55524360
-2.43617427,-0.37968500,-0.59144180,-0.56610910
-2.43517427,-0.38517890,-0.59913320,-0.57373950
-2.43417427,-0.39183250,-0.60896100,-0.58246860
-2.43317427,-0.39512880,-0.61665240,-0.59229640
-2.43217427,-0.40282020,-0.62434380,-0.60212430
-2.43117427,-0.40831400,-0.63313390,-0.60865580
-2.43017427,-0.41161030,-0.64082530,-0.61628620
-2.42917427,-0.41930170,-0.65065310,-0.62611400
-2.42817427,-0.42369670,-0.65834450,-0.63594190
-2.42717427,-0.42925160,-0.66713460,-0.64247350
-2.42617427,-0.43584420,-0.67592480,-0.65120260
-2.42517427,-0.43804170,-0.68361620,-0.65773410
-2.42417427,-0.44573310,-0.69020870,-0.66756190
-2.42317427,-0.45012820,-0.69893780,-0.67629100
-2.42217427,-0.45781960,-0.70662920,-0.68282260
-2.42117427,-0.46111580,-0.71432060,-0.69155170
-2.42017427,-0.46886830,-0.71981440,-0.69918200
-2.41917427,-0.47216460,-0.72860460,-0.70681230
-2.41817427,-0.47765840,-0.73513610,-0.71334390
-2.41717427,-0.48534980,-0.74172870,-0.71987550
-2.41617427,-0.48864610,-0.74942010,-0.72750580
-2.41517427,-0.49523870,-0.75821020,-0.73409840
-2.41417427,-0.50073250,-0.76480280,-0.74172870
-2.41317427,-0.50512750,-0.77029660,-0.74716150
-2.41217427,-0.51068250,-0.77469170,-0.75369300
-2.41117427,-0.51617630,-0.78232200,-0.75912580
-2.41017427,-0.52167010,-0.78781590,-0.76461970
-2.40917427,-0.52716400,-0.79221090,-0.77005250
-2.40817427,-0.53375660,-0.79880360,-0.77658400
-2.40717427,-0.53705290,-0.80319860,-0.78207790
-2.40617427,-0.54364540,-0.80759370,-0.78751070
-2.40517427,-0.54920040,-0.81198880,-0.79184470
-2.40417427,-0.55359540,-0.81748260,-0.79733850
-2.40317427,-0.55799050,-0.82077890,-0.80167260
-2.40217427,-0.56348430,-0.82401410,-0.80716640
-2.40117427,-0.57007690,-0.83060680,-0.80930290
-2.40017427,-0.57447200,-0.83610060,-0.81479670
-2.39917427,-0.57886700,-0.83939690,-0.81693320
-2.39817427,-0.58332310,-0.84269320,-0.82352580
-2.39717427,-0.58881700,-0.84708830,-0.82785980
-2.39617427,-0.59431080,-0.84928580,-0.83005740
-2.39517427,-0.59870590,-0.85148330,-0.83439140
-2.39417427,-0.60310100,-0.85368080,-0.83658890
-2.39317427,-0.60749600,-0.85477960,-0.83658890
-2.39217427,-0.61298980,-0.85587840,-0.83658890
-2.39117427,-0.61738490,-0.85697720,-0.83768770
-2.39017427,-0.62293980,-0.85807590,-0.83988520
-2.38917427,-0.62733490,-0.85917470,-0.84092300
-2.38817427,-0.63282870,-0.86027350,-0.84312050
-2.38717427,-0.63722380,-0.86356970,-0.84421930
-2.38617427,-0.64381640,-0.86460750,-0.84861430
-2.38517427,-0.64711270,-0.86790380,-0.85184960
-2.38417427,-0.65040900,-0.87120010,-0.85404710
-2.38317427,-0.65480410,-0.87339760,-0.85624460
-2.38217427,-0.66029790,-0.87559520,-0.85838120
-2.38117427,-0.66365520,-0.87779270,-0.86167740
-2.38017427,-0.66914900,-0.88108900,-0.86277620
-2.37917427,-0.67354410,-0.88218770,-0.86601140
-2.37817427,-0.67903790,-0.88548400,-0.86930780
-2.37717427,-0.68123550,-0.88768160,-0.87260410
-2.37617427,-0.68672930,-0.89207670,-0.87583940
-2.37517427,-0.69332190,-0.89427420,-0.87913560
-2.37417427,-0.69771700,-0.89757050,-0.88237090
-2.37317427,-0.70107440,-0.90196560,-0.88566720
-2.37217427,-0.70437060,-0.90306430,-0.89000120
-2.37117427,-0.70876570,-0.90745940,-0.89329750
-2.37017427,-0.71316080,-0.91289220,-0.89769260
-2.36917427,-0.71755580,-0.91728720,-0.90312530
-2.36817427,-0.72195090,-0.92058350,-0.90532290
-2.36717427,-0.72744480,-0.92278110,-0.90745940
-2.36617427,-0.72964230,-0.92497860,-0.90965690
-2.36517427,-0.73293860,-0.92717620,-0.91185440
-2.36417427,-0.73849340,-0.92717620,-0.91405200
-2.36317427,-0.74508610,-0.92717620,-0.91295330
