Frequency,Channel A,Channel B,Channel C
(ms),(V),(mV),(mV)

-100.02690554,1.14668500,124.43530000,123.75780000
-100.00690554,1.14668500,123.66620000,122.99480000
-99.98690554,1.14668500,123.77610000,121.79220000
-99.96690554,1.14888300,124.86880000,122.99480000
-99.94690554,1.14778400,123.01310000,123.86770000
-99.92690554,1.14778400,123.88600000,124.74060000
-99.90690554,1.14888300,122.90320000,121.02920000
-99.88690554,1.14998200,123.23280000,122.12180000
-99.86690554,1.14998200,123.33660000,122.45150000
-99.84690554,1.14778400,122.90320000,124.41090000
-99.82690554,1.14998200,123.77610000,127.13950000
-99.80690554,1.14998200,123.44650000,122.99480000
-99.78690554,1.15108000,124.21560000,122.77500000
-99.76690554,1.15108000,124.43530000,123.64790000
-99.74690554,1.14998200,124.43530000,124.85040000
-99.72690554,1.15108000,124.10570000,123.53800000
-99.70690554,1.15327800,124.64900000,124.41090000
-99.68690555,1.15217900,126.07130000,124.08740000
-99.66690555,1.15217900,124.97860000,122.77500000
-99.64690555,1.15108000,124.54520000,122.77500000
-99.62690555,1.15327800,125.41810000,124.19730000
-99.60690555,1.15327800,125.08850000,124.63070000
-99.58690555,1.15327800,126.07130000,126.26660000
-99.56690555,1.15437700,127.16400000,126.59630000
-99.54690555,1.15547500,126.73060000,127.03580000
-99.52690555,1.15437700,125.96140000,126.16290000
-99.50690555,1.15657400,127.27380000,127.35930000
-99.48690555,1.15767300,127.71330000,126.70610000
-99.46690555,1.15547500,127.82320000,127.79880000
-99.44690555,1.15657400,127.16400000,125.83320000
-99.42690555,1.15547500,126.95030000,125.61350000
-99.40690555,1.15657400,128.47640000,127.35930000
-99.38690555,1.15657400,127.93310000,127.46920000
-99.36690555,1.15657400,129.13560000,128.01250000
-99.34690555,1.15877200,128.15280000,128.34210000
-99.32690555,1.15657400,126.62070000,126.59630000
-99.30690555,1.15877200,128.58630000,127.57910000
-99.28690556,1.15877200,128.58630000,128.12230000
-99.26690556,1.15767300,127.71330000,126.16290000
-99.24690556,1.15987100,128.15280000,126.92590000
-99.22690556,1.15987100,128.69610000,127.35930000
-99.20690556,1.16096900,129.78880000,127.68890000
-99.18690556,1.15987100,127.93310000,128.12230000
-99.16690556,1.16096900,128.36650000,128.78160000
-99.14690556,1.16096900,128.15280000,128.34210000
-99.12690556,1.16206800,129.67890000,131.94360000
-99.10690556,1.16316700,128.69610000,128.34210000
-99.08690556,1.16206800,129.02580000,129.21500000
-99.06690556,1.16096900,129.35540000,128.56180000
-99.04690556,1.16206800,130.00850000,130.08790000
-99.02690556,1.16316700,128.91590000,128.67170000
-99.00690556,1.16426600,128.69610000,128.12230000
-98.98690556,1.16206800,129.02580000,127.35930000
-98.96690556,1.16536400,129.35540000,128.12230000
-98.94690556,1.16426600,130.77770000,128.34210000
-98.92690556,1.16316700,128.69610000,127.57910000
-98.90690556,1.16536400,128.04300000,127.46920000
-98.88690557,1.16762300,127.49360000,128.12230000
-98.86690557,1.16426600,129.57510000,128.78160000
-98.84690557,1.16652400,129.89870000,128.34210000
-98.82690557,1.16652400,129.57510000,129.97800000
-98.80690557,1.16762300,130.55790000,131.29040000
-98.78690557,1.16762300,131.76050000,131.29040000
-98.76690557,1.16652400,131.76050000,131.40030000
-98.74690557,1.16652400,130.44800000,128.67170000
-98.72690557,1.16872200,130.33820000,128.12230000
-98.70690557,1.16652400,130.33820000,130.08790000
-98.68690557,1.16872200,130.66780000,130.85090000
-98.66690557,1.16872200,130.22830000,130.74110000
-98.64690557,1.16982100,130.99130000,131.29040000
-98.62690557,1.16982100,131.65060000,132.16330000
-98.60690557,1.17091900,132.09010000,130.96080000
-98.58690557,1.16982100,132.09010000,131.18060000
-98.56690557,1.16982100,132.09010000,132.05350000
-98.54690557,1.17091900,132.96300000,131.61400000
-98.52690557,1.17091900,131.65060000,130.74110000
-98.50690558,1.17201800,131.87030000,130.63730000
-98.48690558,1.17201800,132.74320000,130.96080000
-98.46690558,1.17201800,132.09010000,130.52740000
-98.44690558,1.17201800,132.85310000,132.59680000
-98.42690558,1.17311700,132.85310000,132.81650000
-98.40690558,1.17311700,133.61610000,132.92640000
-98.38690558,1.17311700,132.63340000,132.48690000
-98.36690558,1.17421600,133.18280000,133.14610000
-98.34690558,1.17421600,134.60510000,133.79930000
-98.32690558,1.17421600,132.96300000,132.48690000
-98.30690558,1.17421600,132.30380000,132.59680000
-98.28690558,1.17531400,133.07290000,130.41750000
-98.26690558,1.17421600,133.29260000,132.16330000
-98.24690558,1.17421600,133.29260000,132.38310000
-98.22690558,1.17421600,132.96300000,132.38310000
-98.20690558,1.17531400,132.30380000,136.08840000
-98.18690558,1.17641300,132.63340000,132.38310000
-98.16690558,1.17641300,132.96300000,133.03630000
-98.14690558,1.17641300,133.72600000,133.68940000
-98.12690558,1.17751200,133.61610000,133.03630000
-98.10690559,1.17641300,133.18280000,133.36590000
-98.08690559,1.17641300,133.61610000,132.48690000
-98.06690559,1.17751200,132.74320000,130.96080000
-98.04690559,1.17751200,133.94580000,132.81650000
-98.02690559,1.17751200,133.94580000,133.03630000
-98.00690559,1.17751200,134.60510000,133.90920000
-97.98690559,1.17861100,133.83590000,135.65500000
-97.96690559,1.17861100,135.14830000,134.45240000
-97.94690559,1.17970900,134.81870000,135.65500000
