Frequency,Channel A,Channel C
(ms),(V),(mV)

-250.18583016,0.37413010,63.45379000
-250.08583016,0.36753750,62.11085000
-249.98583016,0.36094490,59.95910000
-249.88583016,0.35654990,59.15028000
-249.78583017,0.35105600,57.25796000
-249.68583017,0.34659990,54.03796000
-249.58583017,0.34000730,52.16090000
-249.48583017,0.33451350,50.54327000
-249.38583018,0.32901970,50.00915000
-249.28583018,0.32242700,48.92565000
-249.18583018,0.31803200,47.30802000
-249.08583018,0.31253810,46.51447000
-248.98583019,0.30588450,44.08802000
-248.88583019,0.30148940,41.12746000
-248.78583019,0.29709440,39.78452000
-248.68583020,0.28720550,38.71627000
-248.58583020,0.28390920,37.90746000
-248.48583020,0.28061290,36.01514000
-248.38583020,0.27402030,32.26102000
-248.28583021,0.26846540,34.94689000
-248.18583021,0.26077400,34.67220000
-248.08583021,0.25637890,33.60395000
-247.98583021,0.24978630,31.98632000
-247.88583022,0.24539130,31.45220000
-247.78583022,0.23879870,30.36869000
-247.68583022,0.23330480,29.83457000
-247.58583022,0.22775000,26.87401000
-247.48583023,0.22335490,26.08045000
-247.38583023,0.21566350,25.80576000
-247.28583023,0.21236720,23.92870000
-247.18583023,0.20467590,22.58576000
-247.08583024,0.20028080,20.69344000
-246.98583024,0.19478700,20.15932000
-246.88583024,0.18923210,18.54169000
-246.78583024,0.18483700,18.81638000
-246.68583025,0.17714560,16.38994000
-246.58583025,0.17165180,16.13051000
-246.48583025,0.16396040,15.85582000
-246.38583025,0.16066410,13.70406000
-246.28583026,0.15510930,13.16994000
-246.18583026,0.14961540,13.16994000
-246.08583026,0.14412160,11.82700000
-245.98583026,0.13752900,11.55231000
-245.88583027,0.13313390,9.67525300
-245.78583027,0.12654130,10.20938000
-245.68583027,0.12214630,8.59174600
-245.58583027,0.11549260,7.78293200
-245.48583028,0.10999880,6.71468600
-245.38583028,0.10340620,5.64644100
-245.28583028,0.09681357,5.37174900
-245.18583028,0.09461604,4.28824300
-245.08583029,0.08582591,4.02881200
-244.98583029,0.08143084,2.41118300
-244.88583029,0.07587596,1.87706000
-244.78583029,0.07257966,2.41118300
-244.68583030,0.06378952,1.87706000
-244.58583030,0.05939446,0.79355380
-244.48583030,0.05280185,0.53412280
-244.38583030,0.04620925,0.25943110
-244.28583031,0.04071542,-0.27469170
-244.18583031,0.03625931,-0.80881450
-244.08583031,0.03186424,-1.35819800
-243.98583031,0.02637041,-1.61762900
-243.88583032,0.01977780,-2.15175200
-243.78583032,0.01538274,-2.15175200
-243.68583032,0.00988890,-2.15175200
-243.58583032,0.00439507,-3.23525800
-243.48583033,-0.00335734,-3.23525800
-243.38583033,-0.00775241,-3.50995000
-243.28583033,-0.01324625,-4.85288700
-243.18583033,-0.01764131,-4.85288700
-243.08583034,-0.02313515,-5.38701000
-242.98583034,-0.02972775,-6.19582400
-242.88583034,-0.03522158,-6.72994700
-242.78583034,-0.04077646,-7.26407000
-242.68583035,-0.04517153,-8.07288500
-242.58583035,-0.05176413,-8.34757600
-242.48583035,-0.05615920,-9.94994400
-242.38583035,-0.06275180,-9.69051400
-242.28583036,-0.06714687,-10.75876000
-242.18583036,-0.07264070,-11.56757000
-242.08583036,-0.07819558,-12.10170000
-241.98583036,-0.08478818,-12.37639000
-241.88583037,-0.08808448,-12.65108000
-241.78583037,-0.09467708,-14.52814000
-241.68583037,-0.10126970,-14.80283000
-241.58583037,-0.10566480,-15.87108000
-241.48583038,-0.11115860,-16.67989000
-241.38583038,-0.11555370,-17.21401000
-241.28583038,-0.12110850,-18.83164000
-241.18583038,-0.12770110,-18.83164000
-241.08583039,-0.13099740,-20.44927000
-240.98583039,-0.13649130,-21.79221000
-240.88583039,-0.14418260,-21.51752000
-240.78583039,-0.14857770,-22.32633000
-240.68583040,-0.15297280,-23.94396000
-240.58583040,-0.15852760,-24.47808000
-240.48583040,-0.16402150,-25.01221000
-240.38583040,-0.16951530,-25.54633000
-240.28583041,-0.17391040,-26.62984000
-240.18583041,-0.17830540,-27.69808000
-240.08583041,-0.18379930,-28.24747000
-239.98583041,-0.18819440,-29.04102000
-239.88583042,-0.19368820,-30.12453000
-239.78583042,-0.20034180,-30.65865000
-239.68583042,-0.20583570,-31.46746000
-239.58583042,-0.21132950,-32.00158000
-239.48583043,-0.21572460,-33.08509000
-239.38583043,-0.21902090,-33.89390000
-239.28583043,-0.22451470,-33.89390000
-239.18583044,-0.23000850,-34.42803000
-239.08583044,-0.23446460,-35.49627000
-238.98583044,-0.24105720,-36.03040000
-238.88583044,-0.24545230,-37.11390000
-238.78583045,-0.24984740,-38.18215000
-238.68583045,-0.25314370,-39.54035000
-238.58583045,-0.26083510,-39.54035000
-238.48583045,-0.26523010,-40.07447000
-238.38583046,-0.27072400,-41.95153000
-238.28583046,-0.27627890,-41.95153000
-238.18583046,-0.27957510,-43.29446000
-238.08583046,-0.28506900,-43.29446000
-237.98583047,-0.28946410,-44.37797000
-237.88583047,-0.29385910,-45.72091000
-237.78583047,-0.29825420,-46.52972000
-237.68583047,-0.30264930,-47.32328000
-237.58583048,-0.30704430,-48.94091000
-237.48583048,-0.31369800,-49.47503000
-237.38583048,-0.31699420,-50.83323000
-237.28583048,-0.32358690,-51.09266000
-237.18583049,-0.32688320,-52.71029000
-237.08583049,-0.33127820,-53.77853000
-236.98583049,-0.33677210,-53.77853000
-236.88583049,-0.34116710,-54.32792000
-236.78583050,-0.34446340,-55.12147000
-236.68583050,-0.35001830,-55.67085000
-236.58583050,-0.35441340,-49.74972000
-236.48583050,-0.35880850,-50.55853000
-236.38583051,-0.36430230,-49.74972000
-236.28583051,-0.36759860,-50.02441000
-236.18583051,-0.37309240,-50.28385000
-236.08583051,-0.37748750,-50.83323000
-235.98583052,-0.38188250,-49.21560000
-235.88583052,-0.38517890,-50.02441000
-235.78583052,-0.38963500,-50.02441000
-235.68583052,-0.39403000,-50.55853000
-235.58583053,-0.39952390,-50.83323000
-235.48583053,-0.40391890,-50.55853000
-235.38583053,-0.40831400,-50.55853000
-235.28583053,-0.41161030,-51.09266000
-235.18583054,-0.41490660,-51.36735000
-235.08583054,-0.42040040,-43.82859000
-234.98583054,-0.42589430,-33.89390000
-234.88583054,-0.42815290,-33.89390000
-234.78583055,-0.43364670,-34.15334000
-234.68583055,-0.43804170,-33.61922000
-234.58583055,-0.44243680,-34.96215000
-234.48583055,-0.44683190,-34.96215000
-234.38583056,-0.44793060,-34.96215000
-234.28583056,-0.45452330,-35.49627000
-234.18583056,-0.45781960,-35.77097000
-234.08583056,-0.46331340,-35.77097000
-233.98583057,-0.46441220,-36.03040000
-233.88583057,-0.46886830,-36.03040000
-233.78583057,-0.47436210,-36.57978000
-233.68583057,-0.47546090,-36.03040000
-233.58583058,-0.48095470,-36.30509000
-233.48583058,-0.48534980,-36.83921000
-233.38583058,-0.48864610,-36.03040000
-233.28583058,-0.49194240,-31.74215000
-233.18583059,-0.49523870,-30.65865000
-233.08583059,-0.50073250,-31.46746000
-232.98583059,-0.50183130,-31.46746000
-232.88583059,-0.50738610,-31.46746000
-232.78583060,-0.51068250,-31.46746000
-232.68583060,-0.51507750,-31.19277000
-232.58583060,-0.51617630,-31.74215000
-232.48583060,-0.52167010,-31.74215000
-232.38583061,-0.52496640,-32.00158000
-232.28583061,-0.52936150,-32.00158000
-232.18583061,-0.52936150,-32.53571000
-232.08583061,-0.53265780,-31.74215000
-231.98583062,-0.53925040,-31.74215000
-231.88583062,-0.54254670,-30.93334000
-231.78583062,-0.54590400,-30.38396000
-231.68583062,-0.55029910,-30.38396000
-231.58583063,-0.55249660,-30.93334000
