Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-2.50120875,0.01208644,0.05042119,0.08277377
-2.50020875,0.00769137,0.04169210,0.07294592
-2.49920875,-0.00115981,0.02960566,0.06098156
-2.49820875,-0.00445611,0.02081553,0.05225247
-2.49720875,-0.01214748,0.01092663,0.04132584
-2.49620875,-0.01874008,0.00213649,0.03259675
-2.49520875,-0.02643145,-0.00769137,0.02282993
-2.49420875,-0.03192528,-0.01758027,0.01190331
-2.49320875,-0.03741912,-0.02746917,0.00317422
-2.49220875,-0.04297400,-0.03735808,-0.00775241
-2.49120875,-0.04956660,-0.04828470,-0.01428397
-2.49020875,-0.05615920,-0.05707484,-0.02624832
-2.48920875,-0.06055427,-0.06916127,-0.03717495
-2.48820875,-0.06714687,-0.07795141,-0.04590404
-2.48720875,-0.07373947,-0.08668050,-0.05573190
-2.48620875,-0.07929435,-0.09766817,-0.06659748
-2.48520875,-0.08588695,-0.10535950,-0.07428885
-2.48420875,-0.09357832,-0.11854470,-0.08515444
-2.48320875,-0.09907215,-0.12843360,-0.09717983
-2.48220875,-0.10566480,-0.13716270,-0.10590890
-2.48120875,-0.11115860,-0.14815040,-0.11787330
-2.48020875,-0.11555370,-0.15584180,-0.12550360
-2.47920875,-0.12330610,-0.16573070,-0.13643020
-2.47820875,-0.12770110,-0.17555850,-0.14515930
-2.47720875,-0.13429370,-0.18434870,-0.15388840
-2.47620875,-0.14088630,-0.19533630,-0.16585280
-2.47520875,-0.14528140,-0.20412650,-0.17568060
-2.47420875,-0.15517030,-0.21291660,-0.18331100
-2.47320875,-0.15852760,-0.22384320,-0.19313880
-2.47220875,-0.16621900,-0.23263340,-0.20510320
-2.47120875,-0.17171280,-0.24362110,-0.21279450
-2.47020875,-0.17720670,-0.25460870,-0.22366010
-2.46920875,-0.18379930,-0.26223900,-0.23458670
-2.46820875,-0.18929310,-0.27212790,-0.24331580
-2.46720875,-0.19704550,-0.28201680,-0.25204490
-2.46620875,-0.20144060,-0.29080700,-0.26187280
-2.46520875,-0.20803320,-0.30069590,-0.26950310
-2.46420875,-0.21352700,-0.31052370,-0.28256620
-2.46320875,-0.21902090,-0.31931390,-0.29019650
-2.46220875,-0.22561350,-0.33030160,-0.29892560
-2.46120875,-0.23336590,-0.33909170,-0.30985230
-2.46020875,-0.23885970,-0.34891950,-0.31858140
-2.45920875,-0.24325480,-0.35880850,-0.32724940
-2.45820875,-0.24984740,-0.36759860,-0.33817600
-2.45720875,-0.25644000,-0.37638870,-0.34800390
-2.45620875,-0.26303260,-0.38517890,-0.35563420
-2.45520875,-0.26742770,-0.39500670,-0.36436330
-2.45420875,-0.27408130,-0.40269810,-0.37419120
-2.45320875,-0.27957510,-0.41148820,-0.38292030
-2.45220875,-0.28506900,-0.42137710,-0.39268710
-2.45120875,-0.29166160,-0.42906850,-0.40141620
-2.45020875,-0.29825420,-0.43889640,-0.41124400
-2.44920875,-0.30264930,-0.44878520,-0.41997310
-2.44820875,-0.30924180,-0.45647660,-0.42760350
-2.44720875,-0.31479670,-0.46306920,-0.43633260
-2.44620875,-0.32248810,-0.47405690,-0.44506170
-2.44520875,-0.32578440,-0.48168720,-0.45379070
-2.44420875,-0.33347580,-0.49047740,-0.46251980
-2.44320875,-0.33677210,-0.49926750,-0.47124890
-2.44220875,-0.34336470,-0.50805760,-0.47887920
-2.44120875,-0.35001830,-0.51465020,-0.48760830
-2.44020875,-0.35441340,-0.52447810,-0.49633740
-2.43920875,-0.36100600,-0.53107070,-0.50616530
-2.43820875,-0.36649980,-0.53986080,-0.51269690
-2.43720875,-0.37309240,-0.54755220,-0.52032720
-2.43620875,-0.37858620,-0.55524360,-0.52795750
-2.43520875,-0.38298130,-0.56177510,-0.53668660
-2.43420875,-0.38847510,-0.56946650,-0.54431690
-2.43320875,-0.39512880,-0.57825660,-0.55194720
-2.43220875,-0.39952390,-0.58484920,-0.55957760
-2.43120875,-0.40721520,-0.59144180,-0.56610910
-2.43020875,-0.41161030,-0.60133070,-0.57483820
-2.42920875,-0.41820290,-0.60786230,-0.58246860
-2.42820875,-0.42259800,-0.61445490,-0.58900010
-2.42720875,-0.42925160,-0.62324500,-0.59772920
-2.42620875,-0.43254790,-0.62983760,-0.60426070
-2.42520875,-0.44023930,-0.63643020,-0.61298980
-2.42420875,-0.44573310,-0.64412160,-0.62062020
-2.42320875,-0.45012820,-0.65065310,-0.62721280
-2.42220875,-0.45781960,-0.65614700,-0.63484310
-2.42120875,-0.46221460,-0.66493710,-0.64027590
-2.42020875,-0.46886830,-0.67043100,-0.64680740
-2.41920875,-0.47326330,-0.67702350,-0.65230130
-2.41820875,-0.47875720,-0.68251740,-0.65773410
-2.41720875,-0.48315220,-0.68801120,-0.66536440
-2.41620875,-0.48864610,-0.69344400,-0.67079720
-2.41520875,-0.49413990,-0.69893780,-0.67629100
-2.41420875,-0.50183130,-0.70553050,-0.68172380
-2.41320875,-0.50628740,-0.70992550,-0.68715660
-2.41220875,-0.51068250,-0.71541940,-0.69374920
-2.41120875,-0.51507750,-0.71981440,-0.69698450
-2.41020875,-0.51947260,-0.72420950,-0.70241730
-2.40920875,-0.52606520,-0.72860460,-0.70571360
-2.40820875,-0.53265780,-0.73299960,-0.71010860
-2.40720875,-0.53815160,-0.73733370,-0.71334390
-2.40620875,-0.54254670,-0.74063000,-0.71773900
-2.40520875,-0.54810150,-0.74502500,-0.72317180
-2.40420875,-0.55469420,-0.74942010,-0.72750580
-2.40320875,-0.55799050,-0.75271640,-0.73190090
-2.40220875,-0.56238560,-0.75821020,-0.73623490
-2.40120875,-0.56678060,-0.76260530,-0.73953120
-2.40020875,-0.57227440,-0.76590160,-0.74606280
-2.39920875,-0.57886700,-0.77139540,-0.74935900
-2.39820875,-0.58216330,-0.77579050,-0.75369300
-2.39720875,-0.58771820,-0.77688930,-0.75912580
-2.39620875,-0.59321210,-0.78012450,-0.76132340
-2.39520875,-0.59870590,-0.78232200,-0.76242210
-2.39420875,-0.60200220,-0.78561840,-0.76681720
-2.39320875,-0.60639730,-0.79111220,-0.77115120
-2.39220875,-0.61298980,-0.79550730,-0.77548530
-2.39120875,-0.61738490,-0.79990230,-0.77988030
-2.39020875,-0.62293980,-0.80319860,-0.78531310
-2.38920875,-0.62843360,-0.80649500,-0.78751070
-2.38820875,-0.63282870,-0.81089000,-0.79184470
-2.38720875,-0.63722380,-0.81528510,-0.79404220
-2.38620875,-0.64052010,-0.81748260,-0.79733850
-2.38520875,-0.64711270,-0.81858130,-0.79843730
-2.38420875,-0.64931020,-0.81638380,-0.79843730
-2.38320875,-0.65700160,-0.81748260,-0.79843730
-2.38220875,-0.66029790,-0.81528510,-0.79733850
-2.38120875,-0.66475400,-0.81418630,-0.79733850
-2.38020875,-0.66914900,-0.81528510,-0.79623970
-2.37920875,-0.67354410,-0.81308750,-0.79623970
-2.37820875,-0.67793920,-0.81528510,-0.79733850
-2.37720875,-0.68343310,-0.81638380,-0.80057380
-2.37620875,-0.68782810,-0.82181660,-0.80387010
-2.37520875,-0.69332190,-0.82401410,-0.80606760
-2.37420875,-0.69881580,-0.82840920,-0.80930290
-2.37320875,-0.70107440,-0.83170550,-0.81369790
-2.37220875,-0.70546940,-0.83610060,-0.81913070
-2.37120875,-0.71096320,-0.83719930,-0.82132830
-2.37020875,-0.71316080,-0.84159440,-0.82352580
-2.36920875,-0.71755580,-0.84489070,-0.82785980
-2.36820875,-0.72304970,-0.84928580,-0.83225490
-2.36720875,-0.72524720,-0.85148330,-0.83658890
-2.36620875,-0.73074100,-0.85477960,-0.83878650
-2.36520875,-0.73623490,-0.85807590,-0.84202170
-2.36420875,-0.73959220,-0.86027350,-0.84531800
-2.36320875,-0.74398730,-0.86356970,-0.84861430
