Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-10.00280880,-0.01358198,0.01342937,-0.04578196
-10.00080880,-0.00549384,0.01617629,-0.03769381
-9.99880880,0.00808815,0.02701135,-0.03235258
-9.99680880,0.01892321,0.03235258,-0.02426444
-9.99480880,0.03509950,0.09721035,-0.01892321
-9.99280880,0.04334025,0.04578196,-0.01083506
-9.99080880,0.05417531,0.05402271,-0.00274692
-9.98880880,0.06501038,0.06211085,0.00534123
-9.98680880,0.07584544,0.06470516,0.01068246
-9.98480880,0.08668050,0.07554023,0.02136491
-9.98280880,0.09751557,0.08362837,0.02670614
-9.98080880,0.10835060,0.09446344,0.03754120
-9.97880880,0.11918570,0.09171651,0.04288243
-9.97680880,0.13002080,0.11063970,0.05097058
-9.97480880,0.14085580,0.11872790,0.05905872
-9.97280880,0.15443780,0.13230990,0.06974117
-9.97080880,0.16252590,0.12956290,0.07782932
-9.96880880,0.17610790,0.14573920,0.09125870
-9.96680880,0.18968990,0.15382740,0.10194120
-9.96480880,0.21136000,-0.00274692,0.11002930
-9.96280880,0.20861310,0.17275060,0.11537050
-9.96080880,0.21944820,0.17824440,0.12620560
-9.95880880,0.23028320,0.19716760,0.13414110
-9.95680880,0.24386520,0.20250890,0.14757050
-9.95480880,0.25195340,0.21609080,0.15840560
-9.95280880,0.26278840,0.22677330,0.17183490
-9.95080880,0.27637040,0.23501400,0.18251740
-9.94880880,0.28445850,0.23226710,0.19060550
-9.94680880,0.29529360,0.26202540,0.20403490
-9.94480880,0.30887560,0.27270780,0.21471740
-9.94280880,0.31971060,0.28079600,0.22814670
-9.94080880,0.33054570,0.29712490,0.24157610
-9.93880880,0.33878650,0.30780740,0.25500550
-9.93680880,0.35221580,0.31864240,0.26843490
-9.93480880,0.36305090,0.32413630,0.27926990
-9.93280880,0.37388600,0.34305950,0.28995240
-9.93080880,0.38212670,0.35374190,0.30078740
-9.92880880,0.39021490,0.37541200,0.31955810
-9.92680880,0.40379690,0.38624710,0.33558170
-9.92480880,0.41463190,0.40776460,0.35175800
-9.92280880,0.42272000,0.41585280,0.36518740
-9.92080880,0.43080820,0.43218170,0.38136370
-9.91880880,0.44179590,0.50512750,0.39464040
-9.91680880,0.45522520,0.47002810,0.41615800
-9.91480880,0.46606030,0.48620440,0.43492860
-9.91280880,0.47430100,0.50238070,0.45385180
-9.91080880,0.48513610,0.52130390,0.46987550
-9.90880880,0.49597120,0.52939200,0.48330480
-9.90680880,0.50405930,0.54831520,0.49948110
-9.90480880,0.51489440,0.56449150,0.51550480
-9.90280880,0.52572950,0.59684410,0.53976920
-9.90080880,0.53381760,0.61317300,0.56128670
-9.89880880,0.54205830,0.64018430,0.59073980
-9.89680880,0.55289340,0.66719570,0.61500420
-9.89480880,0.56372850,0.68871320,0.64186300
-9.89280880,0.57456360,0.71847150,0.66872170
-9.89080880,0.57990480,0.74014160,0.69283360
-9.88880880,0.59073980,0.76165910,0.71435110
-9.88680880,0.59898060,0.78332920,0.73846290
-9.88480880,0.60981570,0.80759370,0.76272740
-9.88280880,0.61515690,0.83460500,0.78683920
-9.88080880,0.62599190,0.86161640,0.81369790
-9.87880880,0.63682700,0.87779270,0.83780980
-9.87680880,0.64232080,0.90220980,0.85932730
-9.87480880,0.65040900,0.93456230,0.89152730
-9.87280880,0.66124400,0.99407890,0.93456230
-9.87080880,0.66673790,1.01284900,0.96676230
-9.86880880,0.67482600,1.04535500,1.00170900
-9.86680880,0.68566110,1.07511300,1.03116200
-9.86480880,0.69374920,1.09128900,1.05268000
-9.86280880,0.70199000,1.11830100,1.07145000
-9.86080880,0.71007810,1.13722400,1.09830900
-9.85880880,0.71541940,1.16148800,1.12257300
-9.85680880,0.72625440,1.18315800,1.14409100
-9.85480880,0.73174820,1.21276400,1.17095000
-9.85280880,0.73983640,1.23977500,1.19231500
-9.85080880,0.74533020,1.26144600,1.21657900
-9.84880880,0.75341840,1.28036900,1.23794400
-9.84680880,0.76150650,1.29379800,1.25946200
-9.84480880,0.76700040,1.31821500,1.27823200
-9.84280880,0.77508850,1.33439100,1.29715500
-9.84080880,0.78317670,1.35331500,1.32126700
-9.83880880,0.78867050,1.37483200,1.34537900
-9.83680880,0.79401170,1.40184300,1.36964300
-9.83480880,0.80225250,1.42351400,1.39116100
-9.83280880,0.80759370,1.45052500,1.41252600
-9.83080880,0.81568180,1.47219500,1.43679000
-9.82880880,0.81842880,1.49111800,1.45830800
-9.82680880,0.81842880,1.40733700,1.48242000
-9.82480880,0.83475760,1.53690000,1.50119000
-9.82280880,0.84009890,1.56391200,1.52804900
-9.82080880,0.84833960,1.58832900,1.55231300
-9.81880880,0.85093390,1.60984600,1.57902000
-9.81680880,0.85368080,1.64235100,1.60053700
-9.81480880,0.86176900,1.64509800,1.61396600
-9.81280880,0.86726280,1.65852800,1.63273700
-9.81080880,0.87260410,1.67470400,1.64891300
-9.80880880,0.87535100,1.69637400,1.67043100
-9.80680880,0.88084480,1.72872700,1.69454300
-9.80480880,0.88618610,1.74765000,1.72414800
-9.80280880,0.88893290,1.77466100,1.74566600
-9.80080880,0.89167990,1.79083800,1.76169000
-9.79880880,0.89702110,1.80442000,1.78046000
-9.79680880,0.90251490,1.82334300,1.79389000
-9.79480880,0.90785620,1.83951900,1.80731900
-9.79280880,0.91060310,1.84486000,1.82074800
-9.79080880,0.91335000,1.85844200,1.83158300
-9.78880880,0.91869120,1.87461800,1.84501300
-9.78680880,0.92693200,1.86653000,1.87721300
-9.78480880,0.92693200,1.92589400,1.90132500
-9.78280880,0.92693200,1.95031100,1.93093000
-9.78080880,0.92418500,1.89888300,1.95244800
-9.77880880,0.93502010,1.98815800,1.96587700
-9.77680880,0.93776700,2.00967500,1.98724200
-9.77480880,0.94310830,2.02051000,2.00067100
-9.77280880,0.94310830,2.03134500,2.01410100
-9.77080880,0.94860210,2.04752200,2.02493600
-9.76880880,0.94860210,2.05561000,2.03561800
-9.76680880,0.94860210,2.06095100,2.04096000
-9.76480880,0.95394330,2.06095100,2.04904800
-9.76280880,0.95394330,2.07728000,2.05713600
-9.76080880,0.95943720,2.08536800,2.06781800
-9.75880880,0.95943720,2.09345600,2.07590700
-9.75680880,0.96218410,2.10154400,2.08399500
-9.75480880,0.96477840,2.11237900,2.09467700
-9.75280880,0.96218410,2.12321400,2.10276500
-9.75080880,0.96752530,2.12855600,2.11360000
-9.74880880,0.96477840,2.13389700,2.11894200
-9.74680880,0.96752530,2.13939100,2.12153600
-9.74480880,0.96477840,2.15022600,2.13496500
-9.74280880,0.96752530,2.15831400,2.13771200
-9.74080880,0.95394330,2.26361300,2.15114100
-9.73880880,0.97027220,2.16640200,2.15388800
-9.73680880,0.97027220,2.17174300,2.15923000
-9.73480880,0.96477840,2.07728000,2.16182400
-9.73280880,0.97027220,2.17983200,2.16731800
-9.73080880,0.97027220,2.18532500,2.17265900
-9.72880880,0.97027220,2.18792000,2.17525300
-9.72680880,0.96752530,2.19341300,2.17800000
-9.72480880,0.96752530,2.19616000,2.18074700
-9.72280880,0.96477840,2.18792000,2.17800000
-9.72080880,0.96752530,2.18792000,2.17800000
-9.71880880,0.96752530,2.17983200,2.17800000
-9.71680880,0.96218410,2.18792000,2.17525300
-9.71480880,0.96218410,2.18792000,2.17525300
-9.71280880,0.96218410,2.18532500,2.17800000
-9.71080880,0.95943720,2.18532500,2.17800000
-9.70880880,0.95943720,2.17983200,2.17525300
-9.70680880,0.95669030,2.17983200,2.16991200
-9.70480880,0.95394330,2.17449000,2.16991200
-9.70280880,0.95394330,2.17449000,2.16457100
-9.70080880,0.95134900,2.16640200,2.16182400
-9.69880880,0.94860210,2.16365500,2.15923000
-9.69680880,0.94585520,2.16090800,2.15388800
