Frequency,Channel A,Channel C
(ms),(V),(V)

-250.11743458,0.36973510,0.13749850
-250.01743458,0.36424120,0.13591140
-249.91743458,0.35874740,0.13374440
-249.81743459,0.35325360,0.13108900
-249.71743459,0.34659990,0.12788430
-249.61743459,0.34220490,0.12519840
-249.51743459,0.33561220,0.12571730
-249.41743460,0.33121720,0.11875840
-249.31743460,0.32462460,0.11662190
-249.21743460,0.31913070,0.11503480
-249.11743460,0.31473570,0.11234890
-249.01743461,0.30808200,0.11073130
-248.91743461,0.30368700,0.10752660
-248.81743461,0.29929190,0.10539010
-248.71743461,0.29160050,0.10484070
-248.61743462,0.28610670,0.09898059
-248.51743462,0.28061290,0.09415822
-248.41743462,0.27731660,0.09202173
-248.31743462,0.26956420,0.08985472
-248.21743463,0.26516910,0.08719936
-248.11743463,0.25747770,0.08613112
-248.01743463,0.25308260,0.08558173
-247.91743463,0.24649000,0.07917226
-247.81743464,0.24099620,0.07541814
-247.71743464,0.23550240,0.07328165
-247.61743464,0.23104630,0.07221340
-247.51743464,0.22555240,0.06952753
-247.41743465,0.22225610,0.06684165
-247.31743465,0.21456480,0.06363691
-247.21743465,0.20907090,0.06204981
-247.11743465,0.20137960,0.05881455
-247.01743466,0.19698450,0.06043218
-246.91743466,0.18923210,0.05667806
-246.81743466,0.18593580,0.05292394
-246.71743466,0.18044190,0.05078745
-246.61743467,0.17494810,0.05078745
-246.51743467,0.16945430,0.04813210
-246.41743467,0.16396040,0.04651447
-246.31743467,0.15736780,0.04489684
-246.21743468,0.15181300,0.04276035
-246.11743468,0.14741790,0.04382859
-246.01743468,0.13972650,0.04117324
-245.91743468,0.13423270,0.03903675
-245.81743469,0.12983760,0.03741912
-245.71743469,0.12214630,0.03528263
-245.61743469,0.11885000,0.03366500
-245.51743469,0.11219630,0.03097912
-245.41743470,0.10670250,0.03046026
-245.31743470,0.10120860,0.02670614
-245.21743470,0.09791234,0.02563789
-245.11743470,0.08912221,0.02405079
-245.01743471,0.08582591,0.02295202
-244.91743471,0.07813454,0.01816018
-244.81743471,0.07367843,0.01761079
-244.71743471,0.06928336,0.01492492
-244.61743472,0.06049322,0.01385667
-244.51743472,0.05719692,0.01333781
-244.41743472,0.05280185,0.01172018
-244.31743472,0.04620925,0.00851544
-244.21743473,0.03961665,0.00796606
-244.11743473,0.03406177,0.00689782
-244.01743473,0.02856794,0.00369308
-243.91743473,0.02197534,0.00262483
-243.81743474,0.01648150,0.00262483
-243.71743474,0.01208644,-0.00006104
-243.61743474,0.00549384,-0.00006104
-243.51743474,0.00109877,-0.00112929
-243.41743475,-0.00665364,-0.00326578
-243.31743475,-0.01104871,-0.00433403
-243.21743475,-0.01324625,-0.00592113
-243.11743476,-0.02093761,-0.00647052
-243.01743476,-0.02643145,-0.00860701
-242.91743476,-0.03302405,-0.01074350
-242.81743476,-0.03851788,-0.01236113
-242.71743477,-0.04187523,-0.01287999
-242.61743477,-0.04846783,-0.01449762
-242.51743477,-0.05396166,-0.01504700
-242.41743477,-0.06055427,-0.01663411
-242.31743478,-0.06385057,-0.01825174
-242.21743478,-0.07044317,-0.02038823
-242.11743478,-0.07593700,-0.02145648
-242.01743478,-0.08039311,-0.02252472
-241.91743479,-0.08698571,-0.02252472
-241.81743479,-0.09247955,-0.02359297
-241.71743479,-0.09797338,-0.02521060
-241.61743479,-0.10346720,-0.02627884
-241.51743480,-0.10786230,-0.02679770
-241.41743480,-0.11115860,-0.02841533
-241.31743480,-0.11891100,-0.02948358
-241.21743480,-0.12440480,-0.03055182
-241.11743481,-0.12989870,-0.03323770
-241.01743481,-0.13429370,-0.03323770
-240.91743481,-0.13978760,-0.03537419
-240.81743481,-0.14528140,-0.03644244
-240.71743482,-0.15077520,-0.03806007
-240.61743482,-0.15633010,-0.04019656
-240.51743482,-0.15852760,-0.04178366
-240.41743482,-0.16512020,-0.04285191
-240.31743483,-0.17061410,-0.04446954
-240.21743483,-0.17720670,-0.04553778
-240.11743483,-0.18050300,-0.04822366
-240.01743483,-0.18819440,-0.05090953
-239.91743484,-0.19149070,-0.05356489
-239.81743484,-0.19484800,-0.05197778
-239.71743484,-0.20144060,-0.05731901
-239.61743484,-0.20803320,-0.05570138
-239.51743485,-0.21242830,-0.05625076
-239.41743485,-0.21792210,-0.05783787
-239.31743485,-0.22231720,-0.05893664
-239.21743485,-0.22781100,-0.06159199
-239.11743486,-0.23220610,-0.06266023
-239.01743486,-0.23776100,-0.06372848
-238.91743486,-0.24105720,-0.06320962
-238.81743486,-0.24764980,-0.06589550
