Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-10.00399981,-0.02182273,0.01342937,-0.05371749
-10.00199981,-0.02182273,-0.18099130,-0.04303504
-9.99999981,0.00259431,0.02151752,-0.03769381
-9.99799981,0.01342937,0.03509950,-0.03235258
-9.99599981,0.02426444,0.03769381,-0.02685875
-9.99399981,0.03509950,0.05402271,-0.02151752
-9.99199981,0.04593456,0.04318764,-0.01617629
-9.98999981,0.05676962,0.05936394,-0.01083506
-9.98799981,0.06775729,0.07019900,0.00000000
-9.98599981,0.07859236,0.08912221,0.00793554
-9.98399981,0.08668050,0.07554023,0.01327677
-9.98199981,0.10026250,0.08362837,0.02136491
-9.97999981,0.13002080,0.33222440,0.02411183
-9.97799981,0.12193260,0.09446344,0.03219998
-9.97599981,0.13551460,0.10804540,0.04288243
-9.97399981,0.14634970,0.10804540,0.05097058
-9.97199981,0.15718470,0.12956290,0.05905872
-9.96999981,0.16801980,0.12956290,0.06974117
-9.96799981,0.17610790,0.14314490,0.08042364
-9.96599981,0.19243680,0.14848610,0.08591747
-9.96399981,0.19777800,0.21609080,0.09659992
-9.96199981,0.21136000,0.17015630,0.10468810
-9.95999981,0.22219510,0.17824440,0.11537050
-9.95799981,0.23577710,0.18907950,0.12345870
-9.95599981,0.27102920,0.18907950,0.13154680
-9.95399981,0.25744720,0.20525580,0.14497620
-9.95199981,0.27102920,0.21868510,0.15565860
-9.94999981,0.27911730,0.22677330,0.16374680
-9.94799981,0.28995240,0.22677330,0.17442930
-9.94599981,0.29804050,0.24844340,0.18526430
-9.94399981,0.31162250,0.26461970,0.20128800
-9.94199981,0.32520450,0.28079600,0.21212310
-9.93999981,0.33329260,0.29712490,0.22280550
-9.93799981,0.34412770,0.28903680,0.23623490
-9.93599981,0.35496280,0.30780740,0.24707000
-9.93399981,0.34962150,0.02151752,0.25500550
-9.93199981,0.37388600,0.33481870,0.26584060
-9.92999981,0.38746800,0.34305950,0.27926990
-9.92799981,0.39570870,0.35114760,0.29269930
-9.92599981,0.40654380,0.36732390,0.30612870
-9.92399981,0.41737880,0.38075320,0.31955810
-9.92199981,0.42546700,0.39433520,0.33298740
-9.91999981,0.43630200,0.39967650,0.34641680
-9.91799981,0.44988400,0.40242340,0.35709920
-9.91599981,0.45797220,0.44026980,0.37861680
-9.91399981,0.46880720,0.48071050,0.41890490
-9.91199981,0.47689540,0.52130390,0.45919300
-9.90999981,0.48773040,0.55640330,0.49673420
-9.90799981,0.49856550,0.58066780,0.52633990
-9.90599981,0.50680630,0.61042610,0.55319860
-9.90399981,0.51764130,0.64552560,0.58265170
-9.90199981,0.52572950,0.66444880,0.60157490
-9.89999981,0.53656450,0.68871320,0.62568670
-9.89799981,0.54465260,0.70763640,0.64445730
-9.89599981,0.55823460,0.72121840,0.66597490
-9.89399981,0.56372850,0.74548290,0.68474540
-9.89199981,0.57456360,0.76440600,0.70900990
-9.88999981,0.58265170,0.78332920,0.73037480
-9.88799981,0.60157490,0.82651690,0.75723360
-9.88599981,0.60157490,0.83185810,0.77615670
-9.88399981,0.61240990,0.86436330,0.80026860
-9.88199981,0.61790380,0.87779270,0.82178610
-9.87999981,0.62873890,0.89671590,0.84055670
-9.87799981,0.63423270,0.90755090,0.85658040
-9.87599981,0.64766200,0.92647420,0.87550360
-9.87399981,0.65315590,0.94539740,0.89686850
-9.87199981,0.65849710,0.98049690,0.91579170
-9.86999981,0.67207910,0.99667320,0.93715660
-9.86799981,0.68016730,1.01025500,0.96142110
-9.86599981,0.68840800,1.03726600,0.98553290
-9.86399981,0.69649610,1.06153100,1.00979700
-9.86199981,0.70458430,1.08320100,1.03390900
-9.85999981,0.71282510,1.10746600,1.05268000
-9.85799981,0.71816630,1.12364200,1.06885600
-9.85599981,0.72625440,1.13173000,1.09037400
-9.85399981,0.73449520,1.16148800,1.10914400
-9.85199981,0.74258330,1.17766500,1.12791500
-9.84999981,0.75067140,1.19933500,1.14668500
-9.84799981,0.75616530,1.19384100,1.16545600
-9.84599981,0.76425340,1.23718100,1.18697300
-9.84399981,0.76974730,1.26144600,1.21383200
-9.84199981,0.77783540,1.35865600,1.23000800
-9.83999981,0.78592350,1.30738000,1.25412000
-9.83799981,0.79141740,1.32630300,1.27823200
-9.83599981,0.79950550,1.35056800,1.30509100
-9.83399981,0.80484680,1.38841400,1.34003800
-9.83199981,0.81034060,1.42351400,1.36964300
-9.82999981,0.81568180,1.43160200,1.38841400
-9.82799981,0.82666950,1.45327200,1.40993200
-9.82599981,0.82926380,1.48028300,1.43144900
-9.82399981,0.83750460,1.50454800,1.45830800
-9.82199981,0.84284580,1.53155900,1.47967300
-9.81999981,0.84833960,1.55582300,1.50927800
-9.81799981,0.85093390,1.57749400,1.53339000
-9.81599981,0.85917470,1.59367000,1.55490800
-9.81399981,0.86451590,1.61808700,1.57642500
-9.81199981,0.86726280,1.63960400,1.59519600
-9.80999981,0.87260410,1.65578100,1.61930800
-9.80799981,0.88084480,1.67745100,1.63548400
-9.80599981,0.88359170,1.69362700,1.65959600
-9.80399981,0.88893290,1.72063900,1.68111300
-9.80199981,0.88893290,1.75039700,1.70263100
-9.79999981,0.89702110,1.76932000,1.72674300
-9.79799981,0.89976800,1.79083800,1.75634800
-9.79599981,0.89702110,1.68553900,1.78320700
-9.79399981,0.90785620,1.85035400,1.81540700
-9.79199981,0.91335000,1.88270700,1.84226600
-9.78999981,0.91869120,1.90437700,1.86912500
-9.78799981,0.92143820,1.93138800,1.89598300
-9.78599981,0.92693200,1.96114600,1.92284200
-9.78399981,0.92693200,1.97991700,1.94436000
-9.78199981,0.93227320,1.99624600,1.95778900
-9.77999981,0.93502010,1.94222300,1.97381300
-9.77799981,0.93502010,2.01242200,1.98190100
-9.77599981,0.93776700,2.03134500,1.99533000
-9.77399981,0.94036140,2.04218000,2.01150700
-9.77199981,0.94585520,2.05835700,2.02753000
-9.76999981,0.94860210,2.06369800,2.04096000
-9.76799981,0.95134900,2.08262100,2.05438900
-9.76599981,0.95394330,2.09345600,2.06247700
-9.76399981,0.95134900,2.11237900,2.07331200
-9.76199981,0.95669030,2.10963200,2.08124800
-9.75999981,0.95669030,2.11772100,2.08933600
-9.75799981,0.95943720,2.12580900,2.10276500
-9.75599981,0.96218410,2.09879700,2.11085300
-9.75399981,0.96218410,2.14747900,2.11894200
-9.75199981,0.96218410,2.14747900,2.12428300
-9.74999981,0.95943720,2.22851300,2.13237100
-9.74799981,0.96477840,2.15831400,2.13496500
-9.74599981,0.96752530,2.16914900,2.14045900
-9.74399981,0.96752530,2.17723700,2.14839500
-9.74199981,0.96752530,2.17723700,2.15388800
-9.73999981,0.96752530,2.19341300,2.16182400
-9.73799981,0.97027220,2.19066600,2.16731800
-9.73599981,0.96752530,2.20150200,2.16991200
-9.73399981,0.96752530,2.27170100,2.17265900
-9.73199981,0.97027220,2.19066600,2.17265900
-9.72999981,0.97027220,2.20424800,2.17800000
-9.72799981,0.96752530,2.20684300,2.18074700
-9.72599981,0.97027220,2.20424800,2.18608800
-9.72399981,0.96752530,2.20684300,2.18868300
-9.72199981,0.96752530,2.20959000,2.18868300
-9.71999981,0.96477840,2.20959000,2.19143000
-9.71799981,0.96752530,2.19616000,2.18868300
-9.71599981,0.96218410,2.20424800,2.19143000
-9.71399981,0.96477840,2.20959000,2.19143000
-9.71199981,0.95943720,2.20959000,2.19417600
-9.70999981,0.95943720,2.21233700,2.19417600
-9.70799981,0.95669030,2.20959000,2.19143000
-9.70599981,0.95669030,2.20150200,2.18868300
-9.70399981,0.95394330,2.20424800,2.18868300
-9.70199981,0.95134900,2.20150200,2.18608800
-9.69999981,0.94860210,2.20424800,2.18608800
-9.69799981,0.94585520,2.19875500,2.18334200
