Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-2.50180216,0.01648150,0.06031010,0.09260163
-2.50080216,0.00988890,0.04822366,0.08167501
-2.49980216,0.00329630,0.03729703,0.07080942
-2.49880216,-0.00335734,0.02850690,0.05878403
-2.49780216,-0.00885118,0.01642046,0.04895617
-2.49680216,-0.01544378,0.00872909,0.03918935
-2.49580216,-0.01983885,-0.00219753,0.02826273
-2.49480216,-0.02753022,-0.01428397,0.01623733
-2.49380216,-0.03412282,-0.02417287,0.00647052
-2.49280216,-0.04077646,-0.03406177,-0.00225858
-2.49180216,-0.04736906,-0.04498840,-0.01208644
-2.49080216,-0.05286290,-0.05487730,-0.02301306
-2.48980216,-0.05945550,-0.06586497,-0.03387865
-2.48880216,-0.06604810,-0.07575388,-0.04590404
-2.48780216,-0.07044317,-0.08668050,-0.05573190
-2.48680216,-0.07703577,-0.09656940,-0.06446099
-2.48580216,-0.08259065,-0.10645830,-0.07532658
-2.48480216,-0.08808448,-0.11634720,-0.08735197
-2.48380216,-0.09577585,-0.12733490,-0.09717983
-2.48280216,-0.10126970,-0.13826150,-0.10700770
-2.48180216,-0.10896110,-0.14815040,-0.11787330
-2.48080216,-0.11335610,-0.15913810,-0.12660240
-2.47980216,-0.11891100,-0.16682940,-0.13752900
-2.47880216,-0.12660240,-0.17775610,-0.14839460
-2.47780216,-0.13209620,-0.18984250,-0.15712370
-2.47680216,-0.13759000,-0.19863260,-0.16914910
-2.47580216,-0.14418260,-0.20852150,-0.17897690
-2.47480216,-0.15187400,-0.21834940,-0.18984250
-2.47380216,-0.15742890,-0.23043580,-0.19857160
-2.47280216,-0.16402150,-0.23922600,-0.20949820
-2.47180216,-0.16731780,-0.24911490,-0.22042490
-2.47080216,-0.17500920,-0.26114030,-0.23019170
-2.46980216,-0.18050300,-0.26993040,-0.24001950
-2.46880216,-0.18709560,-0.27872060,-0.24984740
-2.46780216,-0.19258940,-0.28860940,-0.26077400
-2.46680216,-0.19924310,-0.30069590,-0.27054080
-2.46580216,-0.20693440,-0.30832620,-0.28146750
-2.46480216,-0.21023070,-0.32041260,-0.29129530
-2.46380216,-0.21572460,-0.32920280,-0.30112320
-2.46280216,-0.22231720,-0.33909170,-0.31089000
-2.46180216,-0.23000850,-0.34891950,-0.31961910
-2.46080216,-0.23556340,-0.35880850,-0.33054570
-2.45980216,-0.23995850,-0.36869730,-0.34037360
-2.45880216,-0.24655110,-0.37858620,-0.35020140
-2.45780216,-0.25424240,-0.38737640,-0.35996820
-2.45680216,-0.25863750,-0.39830300,-0.36979610
-2.45580216,-0.26632890,-0.40819190,-0.38182150
-2.45480216,-0.26962520,-0.41808080,-0.39055060
-2.45380216,-0.27627890,-0.42796970,-0.39927970
-2.45280216,-0.28287140,-0.43560000,-0.41014530
-2.45180216,-0.28836530,-0.44658770,-0.41997310
-2.45080216,-0.29385910,-0.45647660,-0.42980100
-2.44980216,-0.29935290,-0.46636550,-0.43853010
-2.44880216,-0.30704430,-0.47515570,-0.44725920
-2.44780216,-0.30924180,-0.48498350,-0.45812480
-2.44680216,-0.31919180,-0.49377360,-0.46575510
-2.44580216,-0.32358690,-0.50256380,-0.47558300
-2.44480216,-0.32908070,-0.51135390,-0.48431210
-2.44380216,-0.33457450,-0.52228060,-0.49633740
-2.44280216,-0.34006840,-0.52997190,-0.50286900
-2.44180216,-0.34666100,-0.53876200,-0.51379560
-2.44080216,-0.35111710,-0.54755220,-0.52142600
-2.43980216,-0.35880850,-0.55634230,-0.53015510
-2.43880216,-0.36540100,-0.56507140,-0.53992190
-2.43780216,-0.36869730,-0.57496030,-0.54974970
-2.43680216,-0.37419120,-0.58265170,-0.55957760
-2.43580216,-0.37858620,-0.59034310,-0.56720790
-2.43480216,-0.38737640,-0.60023190,-0.57483820
-2.43380216,-0.39073370,-0.60786230,-0.58356730
-2.43280216,-0.39732630,-0.61665240,-0.59229640
-2.43180216,-0.40282020,-0.62544260,-0.59992670
-2.43080216,-0.40941280,-0.63313390,-0.60755710
-2.42980216,-0.41490660,-0.64082530,-0.61628620
-2.42880216,-0.42149920,-0.64845560,-0.62171890
-2.42780216,-0.42589430,-0.65504820,-0.63154680
-2.42680216,-0.43035040,-0.66383830,-0.63807840
-2.42580216,-0.43694300,-0.67262850,-0.64570870
-2.42480216,-0.44023930,-0.67922110,-0.65443780
-2.42380216,-0.44902940,-0.68581370,-0.66316690
-2.42280216,-0.45452330,-0.69344400,-0.67079720
-2.42180216,-0.45891830,-0.70113540,-0.67629100
-2.42080216,-0.46551090,-0.70772800,-0.68392130
-2.41980216,-0.46996700,-0.71432060,-0.69155170
-2.41880216,-0.47326330,-0.72311070,-0.70028080
-2.41780216,-0.47985590,-0.73080210,-0.70791110
-2.41680216,-0.48644850,-0.73623490,-0.71334390
-2.41580216,-0.49084360,-0.74392620,-0.72097420
-2.41480216,-0.49633740,-0.75051890,-0.72860460
-2.41380216,-0.50073250,-0.75601270,-0.73513610
-2.41280216,-0.50628740,-0.76370410,-0.74282750
-2.41180216,-0.51288000,-0.76919790,-0.74935900
-2.41080216,-0.51837380,-0.77469170,-0.75259430
-2.40980216,-0.52386770,-0.78122330,-0.76132340
-2.40880216,-0.52936150,-0.78781590,-0.76571850
-2.40780216,-0.53485530,-0.79330970,-0.77334880
-2.40680216,-0.54034910,-0.79770480,-0.77878160
-2.40580216,-0.54480530,-0.80429740,-0.78207790
-2.40480216,-0.54920040,-0.80869250,-0.78641190
-2.40380216,-0.55579290,-0.81418630,-0.79184470
-2.40280216,-0.56128670,-0.81858130,-0.79623970
-2.40180216,-0.56458310,-0.82291540,-0.80167260
-2.40080216,-0.57227440,-0.82731040,-0.80606760
-2.39980216,-0.57666950,-0.83060680,-0.81150040
-2.39880216,-0.57996580,-0.83500180,-0.81693320
-2.39780216,-0.58552070,-0.84159440,-0.82132830
-2.39680216,-0.58991580,-0.84598950,-0.82566230
-2.39580216,-0.59540960,-0.85148330,-0.83225490
-2.39480216,-0.59870590,-0.85477960,-0.83439140
-2.39380216,-0.60419970,-0.85917470,-0.83988520
-2.39280216,-0.60859480,-0.86356970,-0.84531800
-2.39180216,-0.61518740,-0.86790380,-0.84861430
-2.39080216,-0.61848370,-0.87120010,-0.85294840
-2.38980216,-0.62513730,-0.87339760,-0.85624460
-2.38880216,-0.62953240,-0.87889150,-0.85947990
-2.38780216,-0.63502620,-0.88108900,-0.86167740
-2.38680216,-0.63942130,-0.88328650,-0.86711030
-2.38580216,-0.64491520,-0.88548400,-0.86930780
-2.38480216,-0.64931020,-0.88987910,-0.87260410
-2.38380216,-0.65150770,-0.88987910,-0.87260410
-2.38280216,-0.65810040,-0.88768160,-0.87364180
-2.38180216,-0.66255650,-0.88548400,-0.86601140
-2.38080216,-0.66805030,-0.87999020,-0.86167740
-2.37980216,-0.67134660,-0.87449640,-0.85728240
-2.37880216,-0.67793920,-0.87010130,-0.85404710
-2.37780216,-0.68123550,-0.86570630,-0.85184960
-2.37680216,-0.68563060,-0.86356970,-0.84641680
-2.37580216,-0.69112440,-0.86247100,-0.84531800
-2.37480216,-0.69551940,-0.86137220,-0.84641680
-2.37380216,-0.69997560,-0.86137220,-0.84421930
-2.37280216,-0.70217310,-0.86027350,-0.84312050
-2.37180216,-0.70656820,-0.85917470,-0.84531800
-2.37080216,-0.71206200,-0.85917470,-0.84531800
-2.36980216,-0.71535830,-0.86027350,-0.84641680
-2.36880216,-0.71975340,-0.86137220,-0.84861430
-2.36780216,-0.72524720,-0.86356970,-0.84861430
-2.36680216,-0.72854350,-0.86247100,-0.84861430
-2.36580216,-0.73293860,-0.86460750,-0.85075080
-2.36480216,-0.73733370,-0.86570630,-0.85184960
-2.36380216,-0.74178980,-0.86900260,-0.85404710
