Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-10.00240430,-0.01358198,0.02151752,-0.04303504
-10.00040430,0.00000000,0.02426444,-0.03769381
-9.99840430,0.01083506,0.02426444,-0.02960566
-9.99640430,0.02167013,0.02701135,-0.02960566
-9.99440430,0.03250519,0.04044073,-0.01892321
-9.99240430,0.04059333,0.05127579,-0.01617629
-9.99040430,0.05417531,0.04852887,-0.00808815
-9.98840430,0.06501038,0.05936394,0.00000000
-9.98640430,0.07584544,0.07019900,0.00793554
-9.98440430,0.08668050,0.07828714,0.01327677
-9.98240430,0.09476864,0.11872790,0.01602368
-9.98040430,0.10835060,0.09171651,0.02670614
-9.97840430,0.12193260,0.09980466,0.03479429
-9.97640430,0.13276770,0.10804540,0.04288243
-9.97440430,0.14360270,0.11063970,0.05097058
-9.97240430,0.15443780,0.12422170,0.06439995
-9.97040430,0.16801980,0.13505680,0.07248810
-9.96840430,0.17885480,0.14039800,0.08317055
-9.96640430,0.18694300,0.14039800,0.08851178
-9.96440430,0.20052500,0.15932120,0.09385301
-9.96240430,0.21136000,0.16740930,0.10468810
-9.96040430,0.22219510,0.17015630,0.11277620
-9.95840430,0.24920640,0.04578196,0.12345870
-9.95640430,0.24386520,0.19716760,0.13688800
-9.95440430,0.25744720,0.20525580,0.14497620
-9.95240430,0.26278840,0.21609080,0.15840560
-9.95040430,0.27637040,0.23226710,0.16908800
-9.94840430,0.28720550,0.23501400,0.17992310
-9.94640430,0.29804050,0.25378460,0.19060550
-9.94440430,0.31162250,0.26202540,0.20128800
-9.94240430,0.31971060,0.27270780,0.21212310
-9.94040430,0.33054570,0.28079600,0.22555240
-9.93840430,0.34138080,0.29163100,0.23623490
-9.93640430,0.35496280,0.31864240,0.24707000
-9.93440430,0.36305090,0.31330120,0.25775240
-9.93240430,0.37388600,0.32947750,0.27392870
-9.93040430,0.38212670,0.35374190,0.29529360
-9.92840430,0.39570870,0.38075320,0.31955810
-9.92640430,0.40379690,0.40517030,0.34641680
-9.92440430,0.41463190,0.42134660,0.36244050
-9.92240430,0.42546700,0.42409350,0.37327550
-9.92040430,0.43630200,0.43752290,0.38395800
-9.91840430,0.44713710,0.45644610,0.40272860
-9.91640430,0.45522520,0.48071050,0.42149920
-9.91440430,0.46606030,0.49963370,0.44576360
-9.91240430,0.47430100,0.52939200,0.47262240
-9.91040430,0.48773040,0.54831520,0.49673420
-9.90840430,0.49597120,0.57257960,0.51825170
-9.90640430,0.50405930,0.59424980,0.54236360
-9.90440430,0.51489440,0.62385550,0.56922230
-9.90240430,0.52298250,0.64018430,0.58814550
-9.90040430,0.53381760,0.66170190,0.60416920
-9.89840430,0.54465260,0.67253690,0.62034550
-9.89640430,0.55289340,0.69146010,0.63636920
-9.89440430,0.56372850,0.70229520,0.64979860
-9.89240430,0.57456360,0.71572460,0.66597490
-9.89040430,0.58814550,0.71313020,0.68749240
-9.88840430,0.58814550,0.76165910,0.71435110
-9.88640430,0.60157490,0.79416430,0.74380420
-9.88440430,0.60981570,0.81568180,0.77066290
-9.88240430,0.61790380,0.84544010,0.79218040
-9.88040430,0.62873890,0.86161640,0.81629230
-9.87840430,0.63423270,0.91029790,0.86207420
-9.87640430,0.64232080,0.96966180,0.92113290
-9.87440430,0.65040900,1.02917800,0.98293860
-9.87240430,0.65849710,1.07511300,1.02322700
-9.87040430,0.66933220,1.09937700,1.05008500
-9.86840430,0.68016730,1.12089500,1.07145000
-9.86640430,0.68566110,1.13447700,1.09296800
-9.86440430,0.69374920,1.15340000,1.11448500
-9.86240430,0.70199000,1.17766500,1.13859700
-9.86040430,0.70733120,1.21276400,1.16820300
-9.85840430,0.71816630,1.22909300,1.19231500
-9.85640430,0.72625440,1.25869900,1.21657900
-9.85440430,0.73174820,1.28571000,1.24603200
-9.85240430,0.73983640,1.31272100,1.27029700
-9.85040430,0.74792460,1.37483200,1.29975000
-9.84840430,0.75341840,1.36674400,1.32660800
-9.84640430,0.76150650,1.39924900,1.35621400
-9.84440430,0.76974730,1.46410700,1.38307300
-9.84240430,0.77508850,1.45327200,1.41252600
-9.84040430,0.78317670,1.47478900,1.43938500
-9.83840430,0.79141740,1.50180100,1.46364900
-9.83640430,0.79675870,1.52072400,1.48776100
-9.83440430,0.80484680,1.54239400,1.50927800
-9.83240430,0.80759370,1.56391200,1.52804900
-9.83040430,0.81568180,1.58024000,1.54956700
-9.82840430,0.82392260,1.60725200,1.56574300
-9.82640430,0.82666950,1.62068100,1.58451300
-9.82440430,0.83475760,1.63960400,1.60328400
-9.82240430,0.84009890,1.66386900,1.62480200
-9.82040430,0.84559270,1.67470400,1.64357200
-9.81840430,0.85093390,1.69637400,1.66509000
-9.81640430,0.85642780,1.71529700,1.68386000
-9.81440430,0.86451590,1.73681500,1.70537800
-9.81240430,0.86726280,1.75573800,1.72140100
-9.81040430,0.87260410,1.77191400,1.74017200
-9.80840430,0.87809790,1.79358400,1.75909500
-9.80640430,0.88084480,1.80716600,1.78046000
-9.80440430,0.88618610,1.83951900,1.80197800
-9.80240430,0.89167990,1.85035400,1.82349500
-9.80040430,0.89442680,1.86653000,1.84226600
-9.79840430,0.89702110,1.90971800,1.85310100
-9.79640430,0.90526190,1.89888300,1.87446600
-9.79440430,0.90785620,1.92330000,1.89064200
-9.79240430,0.91060310,1.93672900,1.90941300
-9.79040430,0.91869120,1.95290600,1.92558900
-9.78840430,0.91869120,1.96648800,1.94161300
-9.78640430,0.92418500,1.97991700,1.95504200
-9.78440430,0.92693200,1.99349900,1.96847100
-9.78240430,0.92952630,2.00967500,1.97656000
-9.78040430,0.93227320,2.01776300,1.98998900
-9.77840430,0.93776700,2.03134500,2.00341800
-9.77640430,0.94036140,2.04752200,2.01684800
-9.77440430,0.94310830,2.04752200,2.02753000
-9.77240430,0.94585520,2.06369800,2.03836500
-9.77040430,0.94860210,2.06919200,2.05179500
-9.76840430,0.95134900,2.07987400,2.05988300
-9.76640430,0.95134900,2.09070900,2.07056500
-9.76440430,0.95669030,2.09879700,2.07865300
-9.76240430,0.95669030,2.10963200,2.09208300
-9.76040430,0.95669030,2.12580900,2.10017100
-9.75840430,0.95943720,2.12580900,2.10810600
-9.75640430,0.96218410,2.13389700,2.11085300
-9.75440430,0.96218410,2.14473200,2.12428300
-9.75240430,0.97561350,2.23934800,2.12962400
-9.75040430,0.96752530,2.15831400,2.14045900
-9.74840430,0.96477840,2.17174300,2.15648300
-9.74640430,0.96752530,2.18792000,2.17265900
-9.74440430,0.96752530,2.19875500,2.18334200
-9.74240430,0.97027220,2.20424800,2.19417600
-9.74040430,0.97027220,2.21233700,2.20485900
-9.73840430,0.97027220,2.22576600,2.21294700
-9.73640430,0.97027220,2.23126000,2.21828800
-9.73440430,0.97027220,2.24194200,2.22362900
-9.73240430,0.97027220,2.24743600,2.23171800
-9.73040430,0.97301910,2.25277700,2.23705900
-9.72840430,0.97027220,2.25827100,2.24240000
-9.72640430,0.97027220,2.26086500,2.24789400
-9.72440430,0.96752530,2.26361300,2.25048800
-9.72240430,0.96752530,2.26635900,2.25048800
-9.72040430,0.97027220,2.26895400,2.25323500
-9.71840430,0.96477840,2.26086500,2.24789400
-9.71640430,0.96477840,2.26361300,2.25323500
-9.71440430,0.96477840,2.25827100,2.25323500
-9.71240430,0.95943720,2.27978900,2.25048800
-9.71040430,0.96218410,2.26086500,2.25048800
-9.70840430,0.95943720,2.25277700,2.24789400
-9.70640430,0.95394330,2.23126000,2.24240000
-9.70440430,0.95669030,2.24194200,2.23705900
-9.70240430,0.95394330,2.24468900,2.23705900
-9.70040430,0.95134900,2.24194200,2.23446500
-9.69840430,0.94860210,2.23660100,2.23171800
-9.69640430,0.94860210,2.23385400,2.22637700
