Frequency,Channel A,Channel C
(ms),(V),(mV)

-250.17534585,0.37303140,98.40067000
-250.07534585,0.36534000,94.63129000
-249.97534586,0.35984620,92.22012000
-249.87534586,0.35545110,92.47955000
-249.77534586,0.34995730,90.34306000
-249.67534586,0.34440240,81.18666000
-249.57534587,0.33780980,79.05017000
-249.47534587,0.33231600,76.62373000
-249.37534587,0.32792090,75.28078000
-249.27534587,0.32242700,71.78610000
-249.17534588,0.31473570,68.55084000
-249.07534588,0.31143940,69.10023000
-248.97534588,0.30698330,68.01672000
-248.87534588,0.30039070,66.39909000
-248.77534589,0.29379810,64.24734000
-248.67534589,0.28830420,62.64497000
-248.57534589,0.28390920,59.95910000
-248.47534589,0.27731660,57.53265000
-248.37534590,0.27176170,56.99853000
-248.27534590,0.26516910,55.10621000
-248.17534590,0.25857650,56.99853000
-248.07534590,0.25528020,52.16090000
-247.97534591,0.24868760,48.11683000
-247.87534591,0.24429250,44.89684000
-247.77534591,0.23660110,42.47039000
-247.67534591,0.23330480,41.66158000
-247.57534592,0.22775000,38.97570000
-247.47534592,0.22115740,38.97570000
-247.37534592,0.21566350,36.56452000
-247.27534592,0.21016970,34.67220000
-247.17534593,0.20357710,32.52045000
-247.07534593,0.19808330,31.72689000
-246.97534593,0.19362710,30.91808000
-246.87534593,0.18813330,27.42339000
-246.77534594,0.18373820,25.80576000
-246.67534594,0.17604690,23.92870000
-246.57534594,0.17055300,23.11989000
-246.47534594,0.16505920,23.11989000
-246.37534595,0.15846660,20.96813000
-246.27534595,0.15401050,20.69344000
-246.17534595,0.14741790,19.35051000
-246.07534595,0.14192410,18.00757000
-245.97534596,0.13533150,17.19875000
-245.87534596,0.13093640,16.93932000
-245.77534596,0.12544260,14.51288000
-245.67534596,0.11775120,14.51288000
-245.57534597,0.11439380,12.89525000
-245.47534597,0.10780120,11.82700000
-245.37534597,0.10230740,11.55231000
-245.27534598,0.09681357,11.29288000
-245.17534598,0.09022097,8.86643800
-245.07534598,0.08582591,7.78293200
-244.97534598,0.08143084,6.43999500
-244.87534599,0.07587596,5.37174900
-244.77534599,0.07148089,4.83762600
-244.67534599,0.06159199,4.02881200
-244.57534599,0.05829569,2.41118300
-244.47534600,0.05060432,2.41118300
-244.37534600,0.04730802,1.87706000
-244.27534600,0.04071542,0.25943110
-244.17534600,0.03516054,0.25943110
-244.07534601,0.02966671,0.25943110
-243.97534601,0.02637041,-0.27469170
-243.87534601,0.01758027,-0.54938340
-243.77534601,0.01318520,-1.35819800
-243.67534602,0.00879014,-2.15175200
-243.57534602,0.00219753,-3.23525800
-243.47534602,-0.00555488,-3.76938100
-243.37534602,-0.00994995,-4.85288700
-243.27534603,-0.01544378,-4.30350400
-243.17534603,-0.01874008,-6.45525600
-243.07534603,-0.02533268,-7.00463900
-242.97534603,-0.03082652,-7.79819300
-242.87534604,-0.03632035,-8.88169900
-242.77534604,-0.04077646,-9.41582100
-242.67534604,-0.04627030,-9.94994400
-242.57534604,-0.05396166,-11.56757000
-242.47534605,-0.05725797,-12.91051000
-242.37534605,-0.06275180,-13.44463000
-242.27534605,-0.06824563,-15.59639000
-242.17534605,-0.07593700,-16.40520000
-242.07534606,-0.08149188,-18.83164000
-241.97534606,-0.08478818,-18.55695000
-241.87534606,-0.09028202,-19.64046000
-241.77534606,-0.09577585,-21.24283000
-241.67534607,-0.10126970,-22.05164000
-241.57534607,-0.10676350,-22.86045000
-241.47534607,-0.11225740,-24.73751000
-241.37534607,-0.11671350,-25.54633000
-241.27534608,-0.12330610,-27.69808000
-241.17534608,-0.12660240,-28.78159000
-241.07534608,-0.13209620,-29.59040000
-240.97534608,-0.13868880,-30.93334000
-240.87534609,-0.14418260,-30.93334000
-240.77534609,-0.14857770,-32.81040000
-240.67534609,-0.15517030,-34.15334000
-240.57534609,-0.15852760,-34.15334000
-240.47534610,-0.16512020,-35.23684000
-240.37534610,-0.16951530,-36.30509000
-240.27534610,-0.17500920,-37.64803000
-240.17534610,-0.17940420,-36.57978000
-240.07534611,-0.18599680,-37.92271000
-239.97534611,-0.19149070,-38.45684000
-239.87534611,-0.19484800,-38.73153000
-239.77534611,-0.20253940,-38.73153000
-239.67534612,-0.20583570,-40.07447000
-239.57534612,-0.21242830,-40.88329000
-239.47534612,-0.21572460,-41.95153000
-239.37534612,-0.21902090,-43.29446000
-239.27534613,-0.22451470,-44.10328000
-239.17534613,-0.23110730,-45.18679000
-239.07534613,-0.23666220,-46.25504000
-238.97534613,-0.24215600,-48.13209000
-238.87534614,-0.24655110,-48.94091000
-238.77534614,-0.25094620,-50.55853000
-238.67534614,-0.25534120,-50.28385000
-238.57534614,-0.25973630,-52.43560000
-238.47534615,-0.26632890,-52.96972000
-238.37534615,-0.27072400,-53.77853000
-238.27534615,-0.27627890,-53.77853000
-238.17534615,-0.28067390,-54.86204000
-238.07534616,-0.28506900,-55.67085000
-237.97534616,-0.28946410,-55.67085000
-237.87534616,-0.29605660,-57.01379000
-237.77534616,-0.30045170,-57.54792000
-237.67534617,-0.30374800,-58.61616000
-237.57534617,-0.30814310,-59.97436000
-237.47534617,-0.31479670,-59.69967000
-237.37534617,-0.31919180,-60.23379000
-237.27534618,-0.32468560,-61.31730000
-237.17534618,-0.32798190,-62.38554000
-237.07534618,-0.33237700,-63.19435000
-236.97534618,-0.33677210,-63.46905000
-236.87534619,-0.34226590,-64.81199000
-236.77534619,-0.34666100,-66.41435000
-236.67534619,-0.35111710,-67.22317000
-236.57534619,-0.35441340,-66.96374000
-236.47534620,-0.36210470,-68.30667000
-236.37534620,-0.36540100,-67.77254000
-236.27534620,-0.36869730,-69.11549000
-236.17534620,-0.37528990,-69.37492000
-236.07534621,-0.37858620,-69.90904000
-235.97534621,-0.38188250,-69.37492000
-235.87534621,-0.38517890,-69.37492000
-235.77534622,-0.39073370,-68.56610000
-235.67534622,-0.39512880,-63.72848000
-235.57534622,-0.40062260,-63.46905000
-235.47534622,-0.40282020,-64.53729000
-235.37534623,-0.40831400,-64.81199000
-235.27534623,-0.41380780,-65.34610000
-235.17534623,-0.41710410,-66.41435000
-235.07534623,-0.42259800,-66.68904000
-234.97534624,-0.42589430,-67.22317000
-234.87534624,-0.43035040,-67.49786000
-234.77534624,-0.43364670,-67.77254000
-234.67534624,-0.43804170,-68.03197000
-234.57534625,-0.44243680,-67.77254000
-234.47534625,-0.44683190,-66.41435000
-234.37534625,-0.45012820,-67.22317000
-234.27534625,-0.45232570,-66.15492000
-234.17534626,-0.45781960,-63.72848000
-234.07534626,-0.46221460,-63.46905000
-233.97534626,-0.46667070,-62.66023000
-233.87534626,-0.47106580,-62.91967000
-233.77534627,-0.47326330,-62.91967000
-233.67534627,-0.47765840,-62.91967000
-233.57534627,-0.48205350,-63.72848000
-233.47534627,-0.48315220,-62.66023000
-233.37534628,-0.48974480,-63.19435000
-233.27534628,-0.49304110,-63.72848000
-233.17534628,-0.49523870,-62.12611000
-233.07534628,-0.49963370,-61.57673000
-232.97534629,-0.50512750,-52.96972000
-232.87534629,-0.50738610,-51.90147000
-232.77534629,-0.51288000,-49.21560000
-232.67534629,-0.51397870,-47.59797000
-232.57534630,-0.51617630,-46.52972000
-232.47534630,-0.52057140,-47.59797000
-232.37534630,-0.52496640,-48.13209000
-232.27534630,-0.52936150,-49.21560000
-232.17534631,-0.53375660,-48.94091000
-232.07534631,-0.53705290,-48.94091000
-231.97534631,-0.54034910,-48.94091000
-231.87534631,-0.54480530,-48.94091000
-231.77534632,-0.54590400,-48.40678000
-231.67534632,-0.55029910,-49.74972000
-231.57534632,-0.55469420,-49.74972000
-231.47534632,-0.55689170,-49.47503000
