Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-10.00335830,-0.01907581,0.01617629,-0.05112318
-10.00135830,-0.00824075,0.02701135,-0.04303504
-9.99935830,0.00534123,0.03509950,-0.03494689
-9.99735830,0.01342937,0.02701135,-0.03235258
-9.99535830,0.02701135,0.04044073,-0.02151752
-9.99335830,0.03784642,-0.01358198,-0.01617629
-9.99135830,0.05142840,0.05661702,-0.01083506
-9.98935830,0.05951654,0.06211085,-0.00549384
-9.98735830,0.07309853,0.06211085,0.00534123
-9.98535830,0.08118667,0.07554023,0.01327677
-9.98335830,0.09476864,0.08362837,0.02136491
-9.98135830,0.10285680,0.09721035,0.02945306
-9.97935830,0.11643880,0.09980466,0.03479429
-9.97735830,0.12452690,0.11613360,0.04288243
-9.97535830,0.13810890,0.11063970,0.04822366
-9.97335830,0.14894400,0.12681600,0.05905872
-9.97135830,0.15977900,0.13765110,0.06974117
-9.96935830,0.17336100,0.15932120,0.07508241
-9.96735830,0.18419610,0.14573920,0.08591747
-9.96535830,0.19503110,0.15657430,0.09385301
-9.96335830,0.20586620,0.16740930,0.10468810
-9.96135830,0.21670130,0.17824440,0.11277620
-9.95935830,0.22753630,0.18907950,0.12345870
-9.95735830,0.24111830,0.19716760,0.13414110
-9.95535830,0.24920640,0.20785010,0.14497620
-9.95335830,0.26278840,0.21868510,0.15840560
-9.95135830,0.27102920,0.23501400,0.16908800
-9.94935830,0.28445850,0.24310220,0.18251740
-9.94735830,0.28995240,0.29437800,0.19060550
-9.94535830,0.30353440,0.25927850,0.19594680
-9.94335830,0.31436940,0.27270780,0.20937610
-9.94135830,0.32795140,0.28354290,0.22280550
-9.93935830,0.33329260,0.29163100,0.23364060
-9.93735830,0.34687460,0.30521300,0.24432300
-9.93535830,0.36045660,0.31864240,0.25500550
-9.93335830,0.36854470,0.32947750,0.26584060
-9.93135830,0.37937980,0.32138930,0.27926990
-9.92935830,0.39296180,0.34565380,0.28735810
-9.92735830,0.40104990,0.35923570,0.29804050
-9.92535830,0.41188500,0.38075320,0.31955810
-9.92335830,0.41737880,0.41859970,0.33558170
-9.92135830,0.43080820,0.41859970,0.35450490
-9.91935830,0.43904890,0.43752290,0.37586980
-9.91735830,0.45263090,0.45644610,0.40272860
-9.91535830,0.46071910,0.48620440,0.42149920
-9.91335830,0.47155410,0.50512750,0.44835790
-9.91135830,0.47964230,0.52939200,0.46987550
-9.90935830,0.49047740,0.55915030,0.49948110
-9.90735830,0.50131240,0.58875600,0.53168110
-9.90535830,0.50955310,0.62126110,0.56388110
-9.90335830,0.52038820,0.65636060,0.59073980
-9.90135830,0.53122330,0.60508480,0.61225740
-9.89935830,0.53931140,0.68871320,0.63377490
-9.89735830,0.55014650,0.71038340,0.66063360
-9.89535830,0.55823460,0.73739470,0.67940420
-9.89335830,0.56906970,0.75631790,0.70092170
-9.89135830,0.57990480,0.77783540,0.71969230
-9.88935830,0.58539860,0.78607620,0.73846290
-9.88735830,0.59623370,0.80484680,0.75723360
-9.88535830,0.60706870,0.84269320,0.77066290
-9.88335830,0.61515690,0.84269320,0.78409230
-9.88135830,0.62324500,0.85627510,0.80286290
-9.87935830,0.63148580,0.86970450,0.81903920
-9.87735830,0.65040900,0.84009890,0.83521540
-9.87535830,0.64766200,0.92922110,0.87550360
-9.87335830,0.65849710,0.97240870,0.91838600
-9.87135830,0.66673790,1.01025500,0.95867410
-9.86935830,0.67482600,1.03452000,0.98293860
-9.86735830,0.68291410,1.05619000,1.00979700
-9.86535830,0.69100230,1.08854200,1.03665600
-9.86335830,0.69924310,1.11021200,1.06076800
-9.86135830,0.70458430,1.13722400,1.07694400
-9.85935830,0.71541940,1.13981800,1.09571500
-9.85735830,0.72366010,1.15614700,1.11448500
-9.85535830,0.73174820,1.18850000,1.13066200
-9.85335830,0.73708950,1.19658800,1.14409100
-9.85135830,0.74792460,1.21825800,1.16820300
-9.84935830,0.75341840,1.23443400,1.18972000
-9.84735830,0.76150650,1.25610400,1.21383200
-9.84535830,0.76700040,1.28311600,1.23260300
-9.84335830,0.77508850,1.29379800,1.24877900
-9.84135830,0.78058230,1.31272100,1.26755000
-9.83935830,0.78867050,1.32630300,1.28097900
-9.83735830,0.79675870,1.33713800,1.29440800
-9.83535830,0.80225250,1.35865600,1.31592600
-9.83335830,0.80759370,1.38566700,1.33195000
-9.83135830,0.82117570,1.42351400,1.35621400
-9.82935830,0.81842880,1.41817200,1.37223800
-9.82735830,0.82666950,1.43434900,1.40184300
-9.82535830,0.83201070,1.46944800,1.42595500
-9.82335830,0.83750460,1.48287700,1.45022000
-9.82135830,0.84559270,1.51263600,1.46899000
-9.81935830,0.85093390,1.53430600,1.49310200
-9.81735830,0.85368080,1.55582300,1.51996100
-9.81535830,0.85917470,1.58558200,1.54682000
-9.81335830,0.86726280,1.61808700,1.57367800
-9.81135830,0.87000980,1.63960400,1.60328400
-9.80935830,0.87260410,1.73681500,1.61671300
-9.80735830,0.88084480,1.67745100,1.64357200
-9.80535830,0.88618610,1.70720900,1.66768400
-9.80335830,0.89167990,1.73147400,1.69194800
-9.80135830,0.89442680,1.75314400,1.71606000
-9.79935830,0.89976800,1.76932000,1.73223700
-9.79735830,0.90251490,1.78274900,1.75100700
-9.79535830,0.90785620,1.80442000,1.77252500
-9.79335830,0.91060310,1.82334300,1.79129500
-9.79135830,0.91609690,1.83951900,1.80472500
-9.78935830,0.91869120,1.85310100,1.82349500
-9.78735830,0.92418500,1.87187200,1.84226600
-9.78535830,0.91869120,1.82059600,1.85569500
-9.78335830,0.93227320,1.90437700,1.87187200
-9.78135830,0.93227320,1.91780600,1.88789500
-9.77935830,0.93776700,1.92864100,1.89873000
-9.77735830,0.94036140,1.94222300,1.91475400
-9.77535830,0.94036140,1.96114600,1.92818300
-9.77335830,0.94585520,1.97457600,1.93901800
-9.77135830,0.94860210,1.98541100,1.95244800
-9.76935830,0.94860210,1.99884000,1.96847100
-9.76735830,0.95134900,2.00433400,1.97930700
-9.76535830,0.95669030,2.01776300,1.98998900
-9.76335830,0.95943720,1.99624600,1.99807700
-9.76135830,0.95669030,2.03394000,2.00616500
-9.75935830,0.96218410,2.03668700,2.01410100
-9.75735830,0.96218410,2.04477500,2.01959500
-9.75535830,0.96218410,2.06369800,2.03027700
-9.75335830,0.96477840,2.06644500,2.03561800
-9.75135830,0.96752530,2.06919200,2.04370600
-9.74935830,0.96477840,2.06369800,2.04645300
-9.74735830,0.97027220,2.07453300,2.05179500
-9.74535830,0.96752530,2.08262100,2.05988300
-9.74335830,0.97027220,2.08811500,2.06247700
-9.74135830,0.97301910,2.08811500,2.06522400
-9.73935830,0.96752530,2.13130300,2.06781800
-9.73735830,0.97027220,2.09345600,2.07590700
-9.73535830,0.97301910,2.10429100,2.08399500
-9.73335830,0.97027220,2.10963200,2.08933600
-9.73135830,0.97301910,2.11237900,2.09208300
-9.72935830,0.97301910,2.10688600,2.09208300
-9.72735830,0.97027220,2.12321400,2.10017100
-9.72535830,0.97027220,2.12580900,2.10551200
-9.72335830,0.97027220,2.13664400,2.10810600
-9.72135830,0.97027220,2.12321400,2.10551200
-9.71935830,0.96752530,2.11772100,2.10551200
-9.71735830,0.97027220,2.08811500,2.10017100
-9.71535830,0.96477840,2.11237900,2.09742400
-9.71335830,0.96477840,2.12046800,2.09742400
-9.71135830,0.96218410,2.11237900,2.09742400
-9.70935830,0.96218410,2.10429100,2.09467700
-9.70735830,0.95943720,2.10688600,2.09208300
-9.70535830,0.95669030,2.10688600,2.08933600
-9.70335830,0.95394330,2.10154400,2.08399500
-9.70135830,0.95394330,2.10154400,2.08124800
-9.69935830,0.95134900,2.08536800,2.07331200
-9.69735830,0.95134900,2.09070900,2.07331200
