Frequency,Channel A,Channel C
(ms),(V),(V)

-250.14066273,0.36973510,0.13267610
-250.04066273,0.36424120,0.12895250
-249.94066273,0.35984620,0.12678550
-249.84066273,0.35215480,0.12413010
-249.74066274,0.34879740,0.11982660
-249.64066274,0.34110610,0.11875840
-249.54066274,0.33451350,0.11503480
-249.44066274,0.33011840,0.11341720
-249.34066275,0.32572340,0.11073130
-249.24066275,0.31913070,0.10859480
-249.14066275,0.31363690,0.10484070
-249.04066275,0.30808200,0.10111710
-248.94066276,0.30258820,0.09898059
-248.84066276,0.29709440,0.09791234
-248.74066276,0.29050180,0.09522647
-248.64066276,0.28610670,0.09308998
-248.54066277,0.28171160,0.08878647
-248.44066277,0.27621780,0.08664998
-248.34066277,0.27066290,0.08506288
-248.24066277,0.26407030,0.08130875
-248.14066278,0.25857650,0.07969113
-248.04066278,0.25308260,0.07755463
-247.94066278,0.24758880,0.07596752
-247.84066278,0.24209500,0.07273227
-247.74066279,0.23660110,0.07007691
-247.64066279,0.23104630,0.06952753
-247.54066279,0.22335490,0.06632279
-247.44066279,0.22005860,0.06418630
-247.34066280,0.21456480,0.06150043
-247.24066280,0.20797220,0.06256867
-247.14066280,0.20137960,0.05988280
-247.04066280,0.19698450,0.05774631
-246.94066281,0.19033080,0.05988280
-246.84066281,0.18483700,0.05667806
-246.74066281,0.17934320,0.04758271
-246.64066281,0.17384930,0.04651447
-246.54066282,0.16725670,0.04437798
-246.44066282,0.16286170,0.04330973
-246.34066282,0.15510930,0.04010499
-246.24066282,0.15181300,0.03903675
-246.14066283,0.14631910,0.03848736
-246.04066283,0.13972650,0.03635087
-245.94066283,0.13313390,0.03473324
-245.84066283,0.12983760,0.03473324
-245.74066284,0.12214630,0.03259675
-245.64066284,0.11665240,0.03046026
-245.54066284,0.11219630,0.02884263
-245.44066284,0.10780120,0.02832377
-245.34066285,0.10120860,0.02670614
-245.24066285,0.09461604,0.02511903
-245.14066285,0.08912221,0.02405079
-245.04066286,0.08362837,0.02188377
-244.94066286,0.07923330,0.02081553
-244.84066286,0.07367843,0.01867904
-244.74066286,0.06708582,0.01867904
-244.64066287,0.06159199,0.01547430
-244.54066287,0.05719692,0.01440606
-244.44066287,0.05060432,0.01333781
-244.34066287,0.04620925,0.01065193
-244.24066288,0.03961665,0.00958369
-244.14066288,0.03406177,0.00796606
-244.04066288,0.02856794,0.00531071
-243.94066288,0.02307411,0.00424246
-243.84066289,0.01758027,0.00317422
-243.74066289,0.01208644,0.00100720
-243.64066289,0.00659260,-0.00057990
-243.54066289,0.00000000,-0.00164815
-243.44066290,-0.00555488,-0.00485289
-243.34066290,-0.01104871,-0.00592113
-243.24066290,-0.01434501,-0.00701990
-243.14066290,-0.01983885,-0.00967525
-243.04066291,-0.02643145,-0.01236113
-242.94066291,-0.03302405,-0.01287999
-242.84066291,-0.03741912,-0.01556586
-242.74066291,-0.04187523,-0.01663411
-242.64066292,-0.04956660,-0.01931999
-242.54066292,-0.05396166,-0.02038823
-242.44066292,-0.05945550,-0.02200586
-242.34066292,-0.06385057,-0.02414235
-242.24066293,-0.07154194,-0.02734709
-242.14066293,-0.07593700,-0.02896472
-242.04066293,-0.08149188,-0.02896472
-241.94066293,-0.08808448,-0.03216945
-241.84066294,-0.09138078,-0.03482481
-241.74066294,-0.09687462,-0.03592357
-241.64066294,-0.10126970,-0.03806007
-241.54066294,-0.10896110,-0.03699182
-241.44066295,-0.11225740,-0.03964717
-241.34066295,-0.11781220,-0.04178366
-241.24066295,-0.12440480,-0.04233305
-241.14066295,-0.12879990,-0.04501892
-241.04066296,-0.13429370,-0.04660603
-240.94066296,-0.13978760,-0.04874252
-240.84066296,-0.14308390,-0.04981077
-240.74066296,-0.15077520,-0.05197778
-240.64066297,-0.15407150,-0.04981077
-240.54066297,-0.16182400,-0.04981077
-240.44066297,-0.16621900,-0.05090953
-240.34066297,-0.16841660,-0.05090953
-240.24066298,-0.17610790,-0.05249664
-240.14066298,-0.18160180,-0.05356489
-240.04066298,-0.18709560,-0.05676962
-239.94066298,-0.19149070,-0.05893664
-239.84066299,-0.19594680,-0.06159199
-239.74066299,-0.20253940,-0.06107313
-239.64066299,-0.20693440,-0.06479673
-239.54066299,-0.21242830,-0.06589550
-239.44066300,-0.21792210,-0.06855085
-239.34066300,-0.22231720,-0.07016848
-239.24066300,-0.22781100,-0.07175559
-239.14066300,-0.23336590,-0.07230496
-239.04066301,-0.23776100,-0.07230496
-238.94066301,-0.24325480,-0.07605909
-238.84066301,-0.24764980,-0.07764620
-238.74066301,-0.25314370,-0.08033207
