Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-10.00361778,-0.02182273,0.00534123,-0.05112318
-10.00161778,-0.01358198,0.01342937,-0.04578196
-9.99961778,0.00000000,0.02151752,-0.03769381
-9.99761778,0.00808815,0.02960566,-0.03235258
-9.99561778,0.02167013,0.03509950,-0.02426444
-9.99361778,0.03250519,0.03769381,-0.01617629
-9.99161778,0.04334025,0.04318764,-0.01083506
-9.98961778,0.05417531,0.05402271,-0.00274692
-9.98761778,0.06501038,0.06211085,0.00534123
-9.98561778,0.07584544,0.04044073,0.01068246
-9.98361778,0.08668050,0.07554023,0.01602368
-9.98161778,0.09751557,0.08103406,0.02411183
-9.97961778,0.10835060,0.09446344,0.03219998
-9.97761778,0.12452690,0.10255160,0.04013551
-9.97561778,0.13276770,0.10804540,0.04822366
-9.97361778,0.14634970,0.11063970,0.05905872
-9.97161778,0.15443780,0.12147480,0.06439995
-9.96961778,0.16527290,0.11613360,0.07248810
-9.96761778,0.17885480,0.14039800,0.08042364
-9.96561778,0.18694300,0.14573920,0.08851178
-9.96361778,0.20052500,0.15382740,0.09659992
-9.96161778,0.21410690,0.13765110,0.11002930
-9.95961778,0.22494200,0.17549750,0.11537050
-9.95761778,0.23303020,0.18633260,0.12879990
-9.95561778,0.24386520,0.19167380,0.13688800
-9.95361778,0.25470030,0.20525580,0.14222930
-9.95161778,0.26553540,0.21334390,0.15565860
-9.94961778,0.27637040,0.22952020,0.16649370
-9.94761778,0.28995240,0.24035530,0.17717620
-9.94561778,0.30078740,0.25653160,0.18785860
-9.94361778,0.31162250,0.25927850,0.20403490
-9.94161778,0.31971060,0.27011350,0.21746430
-9.93961778,0.33329260,0.36732390,0.22280550
-9.93761778,0.34412770,0.29971920,0.23623490
-9.93561778,0.35221580,0.30780740,0.24966430
-9.93361778,0.36305090,0.31864240,0.26309370
-9.93161778,0.37388600,0.33222440,0.27926990
-9.92961778,0.38487360,0.35648880,0.29529360
-9.92761778,0.39570870,0.36183010,0.30872300
-9.92561778,0.40654380,0.37815900,0.32215230
-9.92361778,0.41737880,0.39708210,0.33024050
-9.92161778,0.42821390,0.39967650,0.34366990
-9.91961778,0.43630200,0.41859970,0.35709920
-9.91761778,0.44713710,0.43477600,0.37586980
-9.91561778,0.44988400,0.45644610,0.39204620
-9.91361778,0.46606030,0.45919300,0.41356370
-9.91161778,0.47689540,0.48345740,0.42958730
-9.90961778,0.49047740,0.50238070,0.45110490
-9.90761778,0.49597120,0.52939200,0.47262240
-9.90561778,0.50680630,0.57807350,0.52099870
-9.90361778,0.51489440,0.62934930,0.57471620
-9.90161778,0.52572950,0.67787810,0.62293980
-9.89961778,0.53656450,0.72121840,0.65788670
-9.89761778,0.54205830,0.74548290,0.69008670
-9.89561778,0.55548780,0.76974730,0.71969230
-9.89361778,0.55548780,0.67787810,0.73846290
-9.89161778,0.57181660,0.81568180,0.75998040
-9.88961778,0.58265170,0.83460500,0.78409230
-9.88761778,0.59348670,0.85886950,0.80286290
-9.88561778,0.60157490,0.86711030,0.81629230
-9.88361778,0.60981570,0.86970450,0.82972160
-9.88161778,0.61790380,0.89671590,0.84589790
-9.87961778,0.62599190,0.91838600,0.86741540
-9.87761778,0.63682700,0.94265040,0.88618610
-9.87561778,0.64506780,0.95348550,0.90495660
-9.87361778,0.65315590,0.96966180,0.92113290
-9.87161778,0.66399100,0.98583810,0.93990360
-9.86961778,0.69374920,1.07770700,0.95867410
-9.86761778,0.67757300,1.02368500,0.97744480
-9.86561778,0.68566110,1.03986100,0.99362110
-9.86361778,0.69374920,1.07236600,1.02582100
-9.86161778,0.70458430,1.10746600,1.06076800
-9.85961778,0.71007810,1.14256500,1.09296800
-9.85761778,0.71816630,1.15874100,1.11448500
-9.85561778,0.72625440,1.17766500,1.13600300
-9.85361778,0.73449520,1.19933500,1.16011500
-9.85161778,0.73983640,1.22634600,1.18163200
-9.84961778,0.74792460,1.24252200,1.20574400
-9.84761778,0.76425340,1.37483200,1.22451500
-9.84561778,0.76150650,1.28845700,1.24343800
-9.84361778,0.76974730,1.31012700,1.26755000
-9.84161778,0.77508850,1.33164400,1.28906700
-9.83961778,0.78317670,1.35056800,1.31058500
-9.83761778,0.78867050,1.37223800,1.33744300
-9.83561778,0.79675870,1.39650200,1.35621400
-9.83361778,0.80484680,1.41267800,1.37773200
-9.83161778,0.81034060,1.42626000,1.39650200
-9.82961778,0.81568180,1.44518400,1.41527300
-9.82761778,0.82392260,1.47753600,1.43404300
-9.82561778,0.82926380,1.49920600,1.45830800
-9.82361778,0.81034060,1.63426300,1.47433200
-9.82161778,0.84009890,1.52881200,1.49310200
-9.81961778,0.84559270,1.55048200,1.51202500
-9.81761778,0.85093390,1.56665800,1.53339000
-9.81561778,0.85917470,1.58283500,1.54682000
-9.81361778,0.86176900,1.59641700,1.56024900
-9.81161778,0.86726280,1.61534000,1.57902000
-9.80961778,0.87260410,1.63151600,1.59794300
-9.80761778,0.87809790,1.65044000,1.61396600
-9.80561778,0.88359170,1.65578100,1.63014300
-9.80361778,0.88618610,1.67745100,1.64616600
-9.80161778,0.89702110,1.68019800,1.65959600
-9.79961778,0.89702110,1.71529700,1.68111300
-9.79761778,0.89976800,1.72872700,1.69454300
-9.79561778,0.90526190,1.73681500,1.71071900
-9.79361778,0.91060310,1.75573800,1.72414800
-9.79161779,0.91335000,1.76932000,1.74017200
-9.78961779,0.91609690,1.78274900,1.75100700
-9.78761779,0.92143820,1.78824300,1.76443700
-9.78561779,0.92693200,1.80976100,1.77511900
-9.78361779,0.92952630,1.81784900,1.78595400
-9.78161779,0.92952630,1.82334300,1.79663700
-9.77961779,0.93502010,1.83417800,1.80731900
-9.77761779,0.93502010,1.83677200,1.82074800
-9.77561779,0.94310830,1.85844200,1.83158300
-9.77361779,0.94585520,1.86653000,1.83692500
-9.77161779,0.94585520,1.87187200,1.85035400
-9.76961779,0.95394330,1.88545300,1.85569500
-9.76761779,0.95394330,1.89888300,1.86653000
-9.76561779,0.95669030,1.90712400,1.87721300
-9.76361779,0.95669030,1.90971800,1.88530100
-9.76161779,0.95943720,1.91521200,1.89064200
-9.75961779,0.95943720,1.92864100,1.90681800
-9.75761779,0.96218410,1.95031100,1.92558900
-9.75561779,0.96477840,1.99624600,1.94161300
-9.75361779,0.96477840,1.97732300,1.95778900
-9.75161779,0.96477840,1.99075200,1.97656000
-9.74961779,0.96752530,2.01776300,1.99533000
-9.74761779,0.96752530,2.03134500,2.01150700
-9.74561779,0.97027220,2.04477500,2.02218900
-9.74361779,0.97027220,2.05286300,2.03561800
-9.74161779,0.97027220,2.06919200,2.05179500
-9.73961779,0.97301910,2.06644500,2.05988300
-9.73761779,0.97301910,2.09345600,2.07056500
-9.73561779,0.97027220,2.10429100,2.08124800
-9.73361779,0.97027220,2.10688600,2.09467700
-9.73161779,0.97027220,2.12321400,2.10551200
-9.72961779,0.97027220,2.13130300,2.11619400
-9.72761779,0.96752530,2.13389700,2.12153600
-9.72561779,0.97027220,2.13939100,2.12703000
-9.72361779,0.96752530,2.13939100,2.12962400
-9.72161779,0.97027220,2.15022600,2.13496500
-9.71961779,0.96477840,2.15282000,2.14045900
-9.71761779,0.96477840,2.16090800,2.14045900
-9.71561779,0.96477840,2.15282000,2.14580000
-9.71361779,0.96477840,2.16365500,2.14839500
-9.71161779,0.96218410,2.16090800,2.14839500
-9.70961779,0.94585520,2.04218000,2.14839500
-9.70761779,0.95943720,2.15282000,2.14305300
-9.70561779,0.95943720,2.14473200,2.13771200
-9.70361779,0.95669030,2.15282000,2.13771200
-9.70161779,0.95394330,2.14747900,2.13771200
-9.69961779,0.95134900,2.15022600,2.13771200
-9.69761779,0.95134900,2.13939100,2.12962400
