Frequency,Channel A,Channel B,Channel C
(ms),(V),(mV),(mV)

-100.03999621,1.14668500,119.94870000,118.85000000
-100.01999621,1.14778400,119.61910000,119.17350000
-99.99999621,1.14558700,120.05860000,119.17350000
-99.97999621,1.14668500,118.52640000,118.63020000
-99.95999621,1.14558700,118.74620000,118.41040000
-99.93999621,1.14778400,119.40540000,119.50310000
-99.91999621,1.14998200,118.85610000,118.63020000
-99.89999621,1.14888300,118.09300000,118.52030000
-99.87999621,1.14888300,120.27840000,118.63020000
-99.85999621,1.14888300,118.74620000,116.88440000
-99.83999621,1.14888300,118.63630000,118.41040000
-99.81999621,1.14998200,120.60800000,120.15630000
-99.79999621,1.15108000,120.60800000,119.50310000
-99.77999621,1.14998200,120.49810000,120.48590000
-99.75999621,1.15217900,121.37100000,120.70570000
-99.73999621,1.15327800,120.82160000,121.13910000
-99.71999621,1.15108000,121.04140000,121.13910000
-99.69999622,1.15217900,121.04140000,121.13910000
-99.67999622,1.15217900,122.46370000,122.56130000
-99.65999622,1.15327800,123.44650000,122.01200000
-99.63999622,1.15437700,122.24390000,121.24890000
-99.61999622,1.15437700,122.79330000,121.79220000
-99.59999622,1.15327800,123.66620000,122.77500000
-99.57999622,1.15547500,123.88600000,123.64790000
-99.55999622,1.15657400,123.88600000,123.97750000
-99.53999622,1.15547500,123.33660000,123.21450000
-99.51999622,1.15437700,123.01310000,122.77500000
-99.49999622,1.15767300,123.66620000,123.86770000
-99.47999622,1.15657400,123.55630000,123.21450000
-99.45999622,1.15657400,124.43530000,123.32440000
-99.43999622,1.15657400,125.41810000,125.07020000
-99.41999622,1.15657400,124.43530000,123.43420000
-99.39999622,1.15657400,125.30830000,124.63070000
-99.37999622,1.15877200,125.85150000,125.39370000
-99.35999622,1.15877200,124.54520000,124.85040000
-99.33999622,1.15987100,123.55630000,123.75780000
-99.31999622,1.15877200,124.97860000,125.50360000
-99.29999623,1.16096900,125.74780000,126.37650000
-99.27999623,1.15877200,125.63790000,124.74060000
-99.25999623,1.15987100,123.66620000,123.86770000
-99.23999623,1.15987100,124.10570000,123.64790000
-99.21999623,1.16096900,124.10570000,123.32440000
-99.19999623,1.16096900,123.33660000,122.99480000
-99.17999623,1.16206800,124.54520000,122.88490000
-99.15999623,1.16316700,123.33660000,122.23170000
-99.13999623,1.16096900,122.90320000,122.56130000
-99.11999623,1.16096900,124.54520000,124.19730000
-99.09999623,1.16316700,124.75890000,125.61350000
-99.07999623,1.16316700,124.64900000,124.63070000
-99.05999623,1.16426600,124.54520000,123.75780000
-99.03999623,1.16316700,125.19840000,125.50360000
-99.01999623,1.16316700,126.29100000,126.48640000
-98.99999623,1.16536400,126.95030000,129.43470000
-98.97999623,1.16426600,126.40090000,125.83320000
-98.95999623,1.16426600,125.19840000,123.64790000
-98.93999623,1.16536400,124.97860000,122.99480000
-98.91999624,1.16536400,125.63790000,124.08740000
-98.89999624,1.16652400,125.85150000,125.50360000
-98.87999624,1.16536400,126.84040000,126.70610000
-98.85999624,1.16652400,126.95030000,127.03580000
-98.83999624,1.16536400,128.04300000,127.13950000
-98.81999624,1.16652400,126.62070000,124.74060000
-98.79999624,1.16872200,126.18120000,125.72340000
-98.77999624,1.16762300,126.18120000,126.16290000
-98.75999624,1.16872200,127.16400000,125.72340000
-98.73999624,1.16762300,126.07130000,125.61350000
-98.71999624,1.16762300,126.18120000,124.85040000
-98.69999624,1.16872200,126.95030000,125.07020000
-98.67999624,1.16872200,125.85150000,124.96030000
-98.65999624,1.16872200,126.29100000,123.64790000
-98.63999624,1.16872200,127.82320000,125.72340000
-98.61999624,1.16872200,127.27380000,127.13950000
-98.59999624,1.16982100,127.71330000,127.46920000
-98.57999624,1.17091900,129.13560000,127.68890000
-98.55999624,1.16982100,127.71330000,126.26660000
-98.53999624,1.17201800,127.60350000,125.72340000
-98.51999625,1.17091900,128.26270000,127.46920000
-98.49999625,1.17311700,127.60350000,126.05300000
-98.47999625,1.16982100,127.16400000,125.39370000
-98.45999625,1.17311700,127.71330000,128.67170000
-98.43999625,1.17311700,128.47640000,126.59630000
-98.41999625,1.17311700,127.93310000,128.34210000
-98.39999625,1.17421600,128.69610000,129.76440000
-98.37999625,1.17421600,127.93310000,127.03580000
-98.35999625,1.17421600,128.47640000,127.46920000
-98.33999625,1.17311700,129.02580000,131.61400000
-98.31999625,1.17531400,127.93310000,127.03580000
-98.29999625,1.17531400,127.60350000,127.24940000
-98.27999625,1.17311700,128.47640000,127.13950000
-98.25999625,1.17531400,128.47640000,126.16290000
-98.23999625,1.17531400,127.60350000,126.48640000
-98.21999625,1.17641300,128.26270000,126.26660000
-98.19999625,1.17531400,128.47640000,128.34210000
-98.17999625,1.17641300,129.13560000,127.57910000
-98.15999625,1.17641300,128.26270000,126.26660000
-98.13999625,1.17531400,128.80600000,126.48640000
-98.11999626,1.17641300,128.26270000,127.13950000
-98.09999626,1.17751200,129.46530000,128.23220000
-98.07999626,1.17751200,128.36650000,127.24940000
-98.05999626,1.17751200,128.15280000,127.35930000
-98.03999626,1.17861100,129.13560000,126.48640000
-98.01999626,1.17861100,129.57510000,126.16290000
-97.99999626,1.17751200,130.44800000,129.10510000
-97.97999626,1.17861100,130.55790000,128.45200000
-97.95999626,1.17751200,130.66780000,129.76440000
