Frequency,Channel A,Channel C
(ms),(V),(mV)

-250.15068832,0.37083380,78.24136000
-250.05068832,0.36534000,77.43254000
-249.95068832,0.35984620,73.93785000
-249.85068832,0.35545110,73.40372000
-249.75068833,0.34879740,69.63435000
-249.65068833,0.34220490,67.75729000
-249.55068833,0.33890860,64.79673000
-249.45068833,0.33341470,61.30203000
-249.35068834,0.32682210,61.02734000
-249.25068834,0.32132830,59.95910000
-249.15068834,0.31583450,58.34147000
-249.05068834,0.30918080,56.18972000
-248.95068835,0.30478570,54.84678000
-248.85068835,0.29929190,54.31266000
-248.75068835,0.29379810,52.95446000
-248.65068835,0.28830420,50.81797000
-248.55068836,0.28281040,49.45977000
-248.45068836,0.27621780,47.04859000
-248.35068836,0.27176170,45.70565000
-248.25068837,0.26626780,43.01978000
-248.15068837,0.25967530,40.05921000
-248.05068837,0.25528020,39.78452000
-247.95068837,0.24758880,38.44158000
-247.85068838,0.24429250,37.09864000
-247.75068838,0.23769990,34.13807000
-247.65068838,0.23104630,32.79514000
-247.55068838,0.22665120,32.79514000
-247.45068839,0.22115740,30.91808000
-247.35068839,0.21346600,30.36869000
-247.25068839,0.21016970,29.83457000
-247.15068839,0.20467590,29.02576000
-247.05068840,0.20028080,27.42339000
-246.95068840,0.19252840,25.53107000
-246.85068840,0.18703450,24.18813000
-246.75068840,0.18263950,24.18813000
-246.65068841,0.17604690,22.03638000
-246.55068841,0.16945430,20.15932000
-246.45068841,0.16396040,18.54169000
-246.35068841,0.15956540,16.93932000
-246.25068842,0.15291170,16.93932000
-246.15068842,0.14741790,14.78757000
-246.05068842,0.14302280,13.97876000
-245.95068842,0.13423270,12.89525000
-245.85068843,0.13093640,11.82700000
-245.75068843,0.12544260,11.01819000
-245.65068843,0.12214630,11.01819000
-245.55068843,0.11549260,11.01819000
-245.45068844,0.10999880,10.48407000
-245.35068844,0.10230740,9.14112900
-245.25068844,0.09791234,8.05762400
-245.15068844,0.09351727,6.71468600
-245.05068845,0.08472714,5.90587200
-244.95068845,0.08033207,4.83762600
-244.85068845,0.07367843,4.56293400
-244.75068845,0.06928336,2.68587400
-244.65068846,0.06488829,2.68587400
-244.55068846,0.05719692,2.41118300
-244.45068846,0.05390062,1.34293700
-244.35068846,0.04620925,1.06824600
-244.25068847,0.04071542,0.25943110
-244.15068847,0.03625931,0.00000000
-244.05068847,0.03076547,-0.80881450
-243.95068847,0.02527164,-0.80881450
-243.85068848,0.01977780,-1.61762900
-243.75068848,0.01538274,-2.15175200
-243.65068848,0.00879014,-1.89232100
-243.55068848,0.00219753,-3.23525800
-243.45068849,-0.00335734,-3.76938100
-243.35068849,-0.00994995,-4.57819500
-243.25068849,-0.01434501,-4.85288700
-243.15068849,-0.01983885,-5.38701000
-243.05068850,-0.02533268,-6.45525600
-242.95068850,-0.03192528,-7.26407000
-242.85068850,-0.03522158,-8.07288500
-242.75068850,-0.04077646,-8.60700700
-242.65068851,-0.04627030,-9.41582100
-242.55068851,-0.05176413,-10.22464000
-242.45068851,-0.05725797,-10.22464000
-242.35068851,-0.06494933,-11.30814000
-242.25068852,-0.06934440,-12.91051000
-242.15068852,-0.07483824,-13.99402000
-242.05068852,-0.07929435,-14.80283000
-241.95068852,-0.08368941,-16.14577000
-241.85068853,-0.09138078,-15.59639000
-241.75068853,-0.09687462,-17.48871000
-241.65068853,-0.10126970,-18.55695000
-241.55068853,-0.10566480,-18.83164000
-241.45068854,-0.11335610,-19.89989000
-241.35068854,-0.11891100,-21.24283000
-241.25068854,-0.12330610,-22.05164000
-241.15068854,-0.12770110,-22.86045000
-241.05068855,-0.13429370,-24.20339000
-240.95068855,-0.13759000,-25.01221000
-240.85068855,-0.14418260,-25.82102000
-240.75068855,-0.14967650,-26.88927000
-240.65068856,-0.15407150,-27.69808000
-240.55068856,-0.15962640,-29.04102000
-240.45068856,-0.16402150,-29.84983000
-240.35068856,-0.17061410,-31.19277000
-240.25068857,-0.17500920,-31.74215000
-240.15068857,-0.17720670,-33.08509000
-240.05068857,-0.18709560,-33.61922000
-239.95068857,-0.19149070,-34.68746000
-239.85068858,-0.19484800,-33.61922000
-239.75068858,-0.20144060,-33.08509000
-239.65068858,-0.20583570,-33.89390000
-239.55068858,-0.21023070,-34.68746000
-239.45068859,-0.21572460,-35.49627000
-239.35068859,-0.21902090,-36.30509000
-239.25068859,-0.22561350,-37.11390000
-239.15068859,-0.23110730,-37.64803000
-239.05068860,-0.23556340,-39.26565000
-238.95068860,-0.24105720,-38.99096000
-238.85068860,-0.24655110,-40.60859000
-238.75068861,-0.25094620,-41.14272000
-238.65068861,-0.25644000,-41.95153000
-238.55068861,-0.25863750,-42.76034000
-238.45068861,-0.26632890,-42.76034000
-238.35068862,-0.26962520,-44.91210000
-238.25068862,-0.27627890,-45.18679000
-238.15068862,-0.27957510,-45.72091000
-238.05068862,-0.28397020,-46.78915000
-237.95068863,-0.28946410,-46.78915000
-237.85068863,-0.29385910,-47.87266000
-237.75068863,-0.30045170,-48.68148000
-237.65068863,-0.30374800,-48.94091000
-237.55068864,-0.30924180,-49.74972000
-237.45068864,-0.31479670,-50.28385000
-237.35068864,-0.31919180,-51.09266000
-237.25068864,-0.32358690,-51.62679000
-237.15068865,-0.32908070,-50.28385000
-237.05068865,-0.33347580,-51.36735000
-236.95068865,-0.33896960,-52.96972000
-236.85068865,-0.34336470,-52.96972000
-236.75068866,-0.34556220,-53.77853000
-236.65068866,-0.35221580,-54.58735000
-236.55068866,-0.35551210,-55.12147000
-236.45068866,-0.36210470,-55.93028000
-236.35068867,-0.36430230,-56.47967000
-236.25068867,-0.37089490,-57.27322000
-236.15068867,-0.37309240,-57.54792000
-236.05068867,-0.37858620,-52.96972000
-235.95068868,-0.38298130,-53.77853000
-235.85068868,-0.38627760,-54.58735000
-235.75068868,-0.39073370,-55.12147000
-235.65068868,-0.39622760,-56.20498000
-235.55068869,-0.39952390,-56.20498000
-235.45068869,-0.40611650,-56.47967000
-235.35068869,-0.40831400,-56.47967000
-235.25068869,-0.41161030,-56.47967000
-235.15068870,-0.41710410,-58.08204000
-235.05068870,-0.42259800,-59.16554000
-234.95068870,-0.42589430,-58.89085000
-234.85068870,-0.43035040,-59.42497000
-234.75068871,-0.43364670,-59.97436000
-234.65068871,-0.43804170,-60.76791000
-234.55068871,-0.44133810,-60.76791000
-234.45068871,-0.44573310,-61.57673000
-234.35068872,-0.45012820,-62.66023000
-234.25068872,-0.45342450,-61.85142000
-234.15068872,-0.45781960,-62.91967000
-234.05068872,-0.46111580,-63.46905000
-233.95068873,-0.46551090,-63.19435000
-233.85068873,-0.47106580,-64.53729000
-233.75068873,-0.47436210,-64.26260000
-233.65068873,-0.47875720,-65.07141000
-233.55068874,-0.48095470,-66.15492000
-233.45068874,-0.48425100,-66.41435000
-233.35068874,-0.48974480,-66.96374000
-233.25068874,-0.49304110,-68.03197000
-233.15068875,-0.49633740,-68.03197000
-233.05068875,-0.49963370,-67.49786000
-232.95068875,-0.50512750,-68.84080000
-232.85068875,-0.50848490,-67.77254000
-232.75068876,-0.51068250,-68.56610000
-232.65068876,-0.51397870,-69.90904000
-232.55068876,-0.51947260,-69.64961000
-232.45068876,-0.52167010,-69.64961000
-232.35068877,-0.52496640,-68.84080000
-232.25068877,-0.52716400,-69.11549000
-232.15068877,-0.53265780,-69.64961000
-232.05068877,-0.53485530,-69.64961000
-231.95068878,-0.53925040,-70.99255000
-231.85068878,-0.54144790,-71.26724000
-231.75068878,-0.54590400,-71.26724000
-231.65068878,-0.55139790,-70.71785000
-231.55068879,-0.55249660,-71.52667000
