Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-10.00301389,-0.01632890,0.04852887,-0.04578196
-10.00101389,-0.00549384,0.02151752,-0.04028812
-9.99901389,0.00534123,0.02151752,-0.03494689
-9.99701389,0.01617629,0.03509950,-0.02960566
-9.99501389,0.02975827,0.04318764,-0.01617629
-9.99301389,0.03784642,0.04578196,-0.01083506
-9.99101389,0.05142840,0.05402271,-0.00274692
-9.98901389,0.06501038,0.06211085,0.00259431
-9.98701389,0.07309853,0.05936394,0.00793554
-9.98501389,0.08393358,0.07828714,0.01877060
-9.98301389,0.09476864,0.07828714,0.02670614
-9.98101389,0.10560370,0.09721035,0.03479429
-9.97901389,0.11643880,0.10804540,0.04013551
-9.97701389,0.12727380,0.11063970,0.05097058
-9.97501389,0.14360270,0.11613360,0.06165303
-9.97301389,0.15977900,0.18083870,0.07248810
-9.97101389,0.16252590,0.12956290,0.07782932
-9.96901389,0.17336100,0.14573920,0.08851178
-9.96701389,0.18694300,0.15932120,0.09934685
-9.96501389,0.19503110,0.16740930,0.10728240
-9.96301389,0.20586620,0.17549750,0.12071180
-9.96101389,0.21944820,0.18633260,0.12879990
-9.95901389,0.23028320,0.19442070,0.14222930
-9.95701389,0.23028320,0.24310220,0.15031740
-9.95501389,0.25195340,0.21334390,0.15565860
-9.95301389,0.26278840,0.21868510,0.16649370
-9.95101389,0.27362350,0.23226710,0.17442930
-9.94901389,0.28445850,0.24310220,0.18526430
-9.94701389,0.29529360,0.25119030,0.20128800
-9.94501389,0.30612870,0.26202540,0.20937610
-9.94301389,0.31711630,0.27545480,0.22021120
-9.94101389,0.32795140,0.27820170,0.22814670
-9.93901389,0.33878650,0.29712490,0.24157610
-9.93701389,0.34962150,0.30780740,0.25500550
-9.93501389,0.36045660,0.32138930,0.26843490
-9.93301389,0.36854470,0.29712490,0.27926990
-9.93101389,0.38212670,0.34305950,0.29529360
-9.92901389,0.39021490,0.36183010,0.30872300
-9.92701389,0.40379690,0.43218170,0.32489930
-9.92501389,0.41188500,0.38884140,0.33558170
-9.92301389,0.42272000,0.40517030,0.35175800
-9.92101389,0.43080820,0.41859970,0.36518740
-9.91901389,0.44439020,0.43477600,0.38395800
-9.91701389,0.45263090,0.46178730,0.40547550
-9.91501389,0.46346600,0.47811620,0.42424610
-9.91301389,0.47155410,0.48879870,0.44301670
-9.91101389,0.47689540,0.51581000,0.46178730
-9.90901389,0.49322430,0.54022710,0.48605180
-9.90701389,0.50405930,0.56723850,0.51291050
-9.90501389,0.51214750,0.58875600,0.53976920
-9.90301389,0.52038820,0.62126110,0.56388110
-9.90101389,0.53122330,0.63469050,0.58539860
-9.89901389,0.53931140,0.67528380,0.62568670
-9.89701389,0.55014650,0.71847150,0.66597490
-9.89501389,0.55823460,0.75082410,0.70626290
-9.89301389,0.56906970,0.79675870,0.74655110
-9.89101389,0.57731040,0.82926380,0.78409230
-9.88901389,0.58539860,0.86711030,0.81903920
-9.88701389,0.59623370,0.89412160,0.85123910
-9.88501389,0.60432180,0.92113290,0.87550360
-9.88301389,0.61515690,0.94539740,0.89961540
-9.88101389,0.62599190,0.76440600,0.92372730
-9.87901389,0.63148580,0.98858500,0.93990360
-9.87701389,0.64232080,1.00750800,0.96401540
-9.87501389,0.65040900,1.02368500,0.98019160
-9.87301389,0.65849710,1.04535500,0.99896230
-9.87101389,0.66673790,1.06153100,1.02048000
-9.86901389,0.67482600,1.08320100,1.03665600
-9.86701389,0.68291410,1.09128900,1.05268000
-9.86501389,0.68840800,1.13173000,1.07145000
-9.86301389,0.69924310,1.13447700,1.09571500
-9.86101389,0.70733120,1.17507000,1.13325600
-9.85901389,0.71541940,1.20467600,1.16286200
-9.85701389,0.72366010,1.21825800,1.17888500
-9.85501389,0.73174820,1.23977500,1.19765600
-9.85301389,0.73983640,1.25061000,1.21657900
-9.85101389,0.74533020,1.27762200,1.23535000
-9.84901389,0.75067140,1.29120400,1.25686700
-9.84701389,0.75891220,1.32080900,1.28097900
-9.84501389,0.76700040,1.34248000,1.30509100
-9.84301389,0.77234160,1.36674400,1.32935500
-9.84101389,0.78058230,1.38307300,1.35621400
-9.83901389,0.78867050,1.41267800,1.38307300
-9.83701389,0.79675870,1.43160200,1.40459000
-9.83501389,0.80484680,1.49371300,1.41802000
-9.83301389,0.80759370,1.48028300,1.44487800
-9.83101389,0.81308750,1.50454800,1.47173700
-9.82901389,0.81842880,1.53430600,1.49584900
-9.82701389,0.82666950,1.55582300,1.52270800
-9.82501389,0.83201070,1.58024000,1.54682000
-9.82301389,0.84009890,1.60450500,1.56833700
-9.82101389,0.84284580,1.62617500,1.59244900
-9.81901389,0.84833960,1.64509800,1.61671300
-9.81701389,0.85642780,1.66936300,1.63548400
-9.81501389,0.85917470,1.68553900,1.65959600
-9.81301389,0.86451590,1.71255000,1.67851900
-9.81101389,0.87000980,1.73147400,1.69988400
-9.80901389,0.87535100,1.74230900,1.71880700
-9.80701389,0.87809790,1.76657300,1.74017200
-9.80501389,0.88618610,1.79083800,1.76169000
-9.80301389,0.89167990,1.80716600,1.77786600
-9.80101389,0.89442680,1.82593700,1.79938300
-9.79901389,0.89976800,1.85035400,1.82074800
-9.79701389,0.90251490,1.87461800,1.84501300
-9.79501389,0.90526190,1.90712400,1.86653000
-9.79301389,0.91060310,1.91246500,1.88530100
-9.79101389,0.91335000,1.92330000,1.89873000
-9.78901389,0.92143820,2.02325700,1.91475400
-9.78701389,0.92143820,1.95565200,1.92818300
-9.78501389,0.92418500,1.96648800,1.94710700
-9.78301389,0.92952630,1.98815800,1.96053600
-9.78101389,0.93227320,2.00158700,1.98190100
-9.77901389,0.93502010,2.01776300,1.99533000
-9.77701389,0.93776700,2.03134500,2.00616500
-9.77501389,0.94036140,2.04218000,2.02218900
-9.77301389,0.94310830,2.04218000,2.03561800
-9.77101389,0.94585520,2.06644500,2.05179500
-9.76901389,0.94585520,2.08262100,2.05713600
-9.76701389,0.95134900,2.09879700,2.07590700
-9.76501389,0.95134900,2.10688600,2.08933600
-9.76301389,0.95394330,2.11512600,2.09742400
-9.76101389,0.95669030,2.12580900,2.10551200
-9.75901389,0.95943720,2.13130300,2.11619400
-9.75701389,0.95943720,2.14473200,2.12428300
-9.75501389,0.95943720,2.15022600,2.13771200
-9.75301389,0.96218410,2.16090800,2.14305300
-9.75101389,0.96477840,2.16365500,2.14839500
-9.74901389,0.96477840,2.17449000,2.15923000
-9.74701389,0.96752530,2.17983200,2.16182400
-9.74501389,0.96477840,2.17983200,2.16731800
-9.74301389,0.96752530,2.11512600,2.16991200
-9.74101389,0.96752530,2.18792000,2.17265900
-9.73901389,0.97027220,2.19616000,2.17800000
-9.73701389,0.96752530,2.19066600,2.18074700
-9.73501389,0.96752530,2.19875500,2.18608800
-9.73301389,0.96752530,2.19066600,2.18868300
-9.73101389,0.97027220,2.20150200,2.19143000
-9.72901389,0.97027220,2.20684300,2.18868300
-9.72701389,0.96752530,2.22851300,2.19143000
-9.72501389,0.96752530,2.20684300,2.19417600
-9.72301389,0.96752530,2.20959000,2.19677100
-9.72101389,0.96752530,2.21493100,2.19951800
-9.71901389,0.96477840,2.20959000,2.19951800
-9.71701389,0.96477840,2.20959000,2.19951800
-9.71501389,0.96218410,2.20424800,2.19677100
-9.71301389,0.96218410,2.20959000,2.19951800
-9.71101389,0.96218410,2.20150200,2.19677100
-9.70901389,0.95943720,2.20684300,2.19677100
-9.70701389,0.95394330,2.20684300,2.19951800
-9.70501389,0.95669030,2.20684300,2.19951800
-9.70301389,0.94860210,2.18532500,2.19951800
-9.70101389,0.95394330,2.20150200,2.19951800
-9.69901389,0.94860210,2.19341300,2.19143000
-9.69701389,0.94585520,2.12046800,2.18868300
