Frequency,Channel A,Channel C
(ms),(V),(mV)

-250.14066273,0.37083380,128.50990000
-250.04066273,0.36424120,124.75580000
-249.94066273,0.35984620,122.32940000
-249.84066273,0.35435230,119.64350000
-249.74066274,0.34879740,116.95760000
-249.64066274,0.34330360,113.72240000
-249.54066274,0.33890860,112.37940000
-249.44066274,0.33231600,109.15940000
-249.34066275,0.32572340,107.81650000
-249.24066275,0.32022950,105.13060000
-249.14066275,0.31473570,100.55240000
-249.04066275,0.31027960,97.59187000
-248.94066276,0.30588450,95.98949000
-248.84066276,0.29819310,94.09718000
-248.74066276,0.29269930,91.68599000
-248.64066276,0.28610670,90.06837000
-248.54066277,0.28171160,86.03955000
-248.44066277,0.27621780,84.42192000
-248.34066277,0.27066290,82.27017000
-248.24066277,0.26516910,80.39310000
-248.14066278,0.25967530,78.24136000
-248.04066278,0.25418140,74.74667000
-247.94066278,0.24868760,73.12904000
-247.84066278,0.24429250,70.70259000
-247.74066279,0.23550240,68.29141000
-247.64066279,0.23104630,66.94848000
-247.54066279,0.22555240,63.71322000
-247.44066279,0.22225610,61.83616000
-247.34066280,0.21456480,60.49322000
-247.24066280,0.20797220,57.25796000
-247.14066280,0.20357710,56.18972000
-247.04066280,0.19698450,53.76328000
-246.94066281,0.19252840,51.88621000
-246.84066281,0.18703450,47.30802000
-246.74066281,0.17934320,45.70565000
-246.64066281,0.17604690,44.08802000
-246.54066282,0.17055300,41.40215000
-246.44066282,0.16615800,40.86802000
-246.34066282,0.15736780,38.97570000
-246.24066282,0.15291170,36.01514000
-246.14066283,0.14631910,34.67220000
-246.04066283,0.14192410,33.06983000
-245.94066283,0.13533150,29.57514000
-245.84066283,0.13093640,28.23220000
-245.74066284,0.12434380,24.99695000
-245.64066284,0.11885000,22.58576000
-245.54066284,0.11329510,21.22757000
-245.44066284,0.10780120,19.07581000
-245.34066285,0.10230740,19.07581000
-245.24066285,0.09791234,16.38994000
-245.14066285,0.09131974,15.32169000
-245.04066286,0.08362837,11.82700000
-244.94066286,0.08143084,9.14112900
-244.84066286,0.07587596,6.98937800
-244.74066286,0.07038213,5.90587200
-244.64066287,0.06488829,4.56293400
-244.54066287,0.05939446,4.02881200
-244.44066287,0.05280185,2.94530600
-244.34066287,0.04401172,1.87706000
-244.24066288,0.04181419,1.60236800
-244.14066288,0.03406177,1.06824600
-244.04066288,0.02966671,0.53412280
-243.94066288,0.02527164,-0.54938340
-243.84066289,0.01977780,-1.35819800
-243.74066289,0.01428397,-1.08350600
-243.64066289,0.00659260,-2.70113500
-243.54066289,0.00109877,-3.50995000
-243.44066290,-0.00335734,-4.04407300
-243.34066290,-0.00994995,-4.85288700
-243.24066290,-0.01434501,-5.66170100
-243.14066290,-0.01983885,-5.66170100
-243.04066291,-0.02423391,-6.19582400
-242.94066291,-0.03082652,-7.26407000
-242.84066291,-0.03741912,-8.34757600
-242.74066291,-0.04077646,-8.88169900
-242.64066292,-0.04736906,-9.94994400
-242.54066292,-0.05286290,-11.30814000
-242.44066292,-0.05835673,-12.10170000
-242.34066292,-0.06275180,-12.65108000
-242.24066293,-0.06934440,-13.71933000
-242.14066293,-0.07373947,-14.25345000
-242.04066293,-0.08149188,-15.87108000
-241.94066293,-0.08588695,-17.21401000
-241.84066294,-0.09028202,-18.02283000
-241.74066294,-0.09687462,-19.09107000
-241.64066294,-0.10126970,-20.70870000
-241.54066294,-0.10896110,-21.51752000
-241.44066295,-0.11335610,-23.13515000
-241.34066295,-0.11781220,-24.20339000
-241.24066295,-0.12330610,-25.01221000
-241.14066295,-0.12770110,-27.16396000
-241.04066296,-0.13429370,-28.78159000
-240.94066296,-0.13978760,-30.38396000
-240.84066296,-0.14528140,-32.27628000
-240.74066296,-0.14967650,-33.61922000
-240.64066297,-0.15407150,-35.23684000
-240.54066297,-0.15962640,-36.57978000
-240.44066297,-0.16621900,-37.92271000
-240.34066297,-0.17171280,-39.54035000
-240.24066298,-0.17610790,-41.41741000
-240.14066298,-0.17940420,-43.03503000
-240.04066298,-0.18489800,-45.18679000
-239.94066298,-0.19039190,-46.78915000
-239.84066299,-0.19594680,-48.68148000
-239.74066299,-0.20034180,-50.28385000
-239.64066299,-0.20583570,-52.17617000
-239.54066299,-0.21132950,-53.51910000
-239.44066300,-0.21792210,-55.39616000
-239.34066300,-0.22121840,-58.08204000
-239.24066300,-0.22671220,-59.16554000
-239.14066300,-0.23110730,-59.97436000
-239.04066301,-0.23666220,-61.57673000
-238.94066301,-0.23995850,-63.19435000
-238.84066301,-0.24545230,-65.34610000
-238.74066301,-0.24984740,-66.15492000
-238.64066302,-0.25424240,-67.77254000
-238.54066302,-0.25973630,-68.56610000
-238.44066302,-0.26523010,-71.52667000
-238.34066302,-0.27072400,-72.86961000
-238.24066303,-0.27627890,-74.76193000
-238.14066303,-0.27847640,-75.29605000
-238.04066303,-0.28397020,-77.44781000
-237.94066303,-0.28836530,-77.70724000
-237.84066304,-0.29495790,-80.13368000
-237.74066304,-0.30045170,-80.40836000
-237.64066304,-0.30484680,-81.47662000
-237.54066304,-0.30924180,-83.62836000
-237.44066305,-0.31479670,-85.24599000
-237.34066305,-0.31809300,-86.58893000
-237.24066305,-0.32248810,-87.39775000
-237.14066305,-0.32578440,-89.54950000
-237.04066306,-0.33237700,-91.96068000
-236.94066306,-0.33787080,-92.76950000
-236.84066306,-0.34006840,-94.92125000
-236.74066306,-0.34556220,-96.79831000
-236.64066307,-0.35111710,-99.22475000
-236.54066307,-0.35551210,-99.75887000
-236.44066307,-0.35990720,-102.44470000
-236.34066307,-0.36540100,-102.71940000
-236.24066308,-0.36869730,-104.06240000
-236.14066308,-0.37199370,-105.14590000
-236.04066308,-0.37748750,-107.29760000
-235.94066308,-0.38188250,-107.02290000
-235.84066309,-0.38737640,-108.90000000
-235.74066309,-0.39073370,-107.83180000
-235.64066309,-0.39512880,-109.17470000
-235.54066310,-0.40062260,-109.98350000
-235.44066310,-0.40282020,-110.24290000
-235.34066310,-0.40721520,-109.70880000
-235.24066310,-0.41380780,-111.05180000
-235.14066311,-0.41600540,-108.90000000
-235.04066311,-0.42040040,-110.24290000
-234.94066311,-0.42589430,-110.79230000
-234.84066311,-0.42925160,-111.05180000
-234.74066312,-0.43474540,-112.39470000
-234.64066312,-0.43694300,-112.66940000
-234.54066312,-0.44243680,-111.05180000
-234.44066312,-0.44573310,-111.32640000
-234.34066313,-0.45012820,-108.90000000
-234.24066313,-0.45232570,-110.24290000
-234.14066313,-0.45781960,-111.05180000
-234.04066313,-0.46111580,-111.05180000
-233.94066314,-0.46441220,-104.59650000
-233.84066314,-0.46996700,-102.71940000
-233.74066314,-0.47436210,-101.91060000
-233.64066314,-0.47765840,-100.29300000
-233.54066315,-0.48095470,-97.88182000
-233.44066315,-0.48425100,-96.53888000
-233.34066315,-0.48864610,-91.70125000
-233.24066315,-0.49304110,-89.54950000
-233.14066316,-0.49743620,-87.12305000
-233.04066316,-0.49853500,-85.50542000
-232.94066316,-0.50512750,-83.90305000
-232.84066316,-0.50738610,-88.20656000
-232.74066317,-0.51178120,-89.80893000
-232.64066317,-0.51507750,-90.61774000
-232.54066317,-0.51837380,-89.54950000
-232.44066317,-0.51947260,-89.27480000
-232.34066318,-0.52496640,-95.19595000
-232.24066318,-0.52716400,-93.30361000
-232.14066318,-0.53375660,-92.49480000
-232.04066318,-0.53705290,-94.11243000
-231.94066319,-0.54034910,-94.38712000
-231.84066319,-0.54480530,-89.00011000
-231.74066319,-0.54590400,-83.35368000
-231.64066319,-0.55139790,-77.70724000
-231.54066320,-0.55249660,-85.50542000
-231.44066320,-0.55579290,-85.24599000
