Frequency,Channel A,Channel C
(ms),(V),(mV)

-250.12603078,0.36973510,134.43110000
-250.02603079,0.36424120,130.12760000
-249.92603079,0.35874740,128.25050000
-249.82603079,0.35325360,125.28990000
-249.72603079,0.34659990,123.13820000
-249.62603080,0.34330360,120.17760000
-249.52603080,0.33671100,119.10940000
-249.42603080,0.33011840,121.26110000
-249.32603080,0.32462460,111.03650000
-249.22603081,0.31913070,105.66470000
-249.12603081,0.31583450,102.42950000
-249.02603081,0.30918080,99.74361000
-248.92603081,0.30478570,98.40067000
-248.82603082,0.30039070,95.44012000
-248.72603082,0.29160050,93.56305000
-248.62603082,0.28720550,89.25954000
-248.52603082,0.28171160,87.38249000
-248.42603083,0.27621780,85.49017000
-248.32603083,0.27066290,83.07898000
-248.22603083,0.26407030,81.46135000
-248.12603083,0.26077400,80.92723000
-248.02603084,0.25308260,76.34904000
-247.92603084,0.24649000,76.08960000
-247.82603084,0.24099620,70.97729000
-247.72603084,0.23769990,69.10023000
-247.62603085,0.23104630,65.86497000
-247.52603085,0.22555240,63.17909000
-247.42603085,0.21786110,58.87559000
-247.32603085,0.21346600,58.34147000
-247.22603086,0.20797220,55.10621000
-247.12603086,0.20357710,52.42034000
-247.02603086,0.19588570,50.81797000
-246.92603086,0.19252840,47.04859000
-246.82603087,0.18593580,45.43095000
-246.72603087,0.18044190,43.81333000
-246.62603087,0.17494810,41.66158000
-246.52603087,0.16945430,41.12746000
-246.42603088,0.16286170,39.52509000
-246.32603088,0.15846660,38.16689000
-246.22603088,0.15181300,35.48101000
-246.12603088,0.14631910,33.87864000
-246.02603089,0.13972650,30.36869000
-245.92603089,0.13533150,27.14870000
-245.82603089,0.12873890,25.80576000
-245.72603089,0.12434380,21.77695000
-245.62603090,0.11994870,21.50226000
-245.52603090,0.11329510,19.88463000
-245.42603090,0.10890000,18.28226000
-245.32603090,0.10010990,18.28226000
-245.22603091,0.09461604,16.38994000
-245.12603091,0.09241851,15.32169000
-245.02603091,0.08582591,12.89525000
-244.92603091,0.07697473,11.01819000
-244.82603092,0.07477719,10.48407000
-244.72603092,0.06818459,9.14112900
-244.62603092,0.06159199,8.33231500
-244.52603092,0.05609816,7.24880900
-244.42603093,0.05170309,5.90587200
-244.32603093,0.04620925,4.02881200
-244.22603093,0.03845684,3.21999700
-244.12603093,0.03516054,2.13649100
-244.02603094,0.02966671,1.87706000
-243.92603094,0.02307411,0.00000000
-243.82603094,0.01867904,-0.80881450
-243.72603094,0.01318520,-1.61762900
-243.62603095,0.00659260,-2.96056600
-243.52603095,0.00109877,-3.23525800
-243.42603095,-0.00445611,-3.50995000
-243.32603095,-0.00885118,-4.57819500
-243.22603096,-0.01544378,-5.66170100
-243.12603096,-0.01983885,-6.19582400
-243.02603096,-0.02643145,-7.00463900
-242.92603096,-0.03192528,-7.79819300
-242.82603097,-0.03741912,-8.60700700
-242.72603097,-0.04407276,-9.41582100
-242.62603097,-0.04846783,-10.22464000
-242.52603097,-0.05396166,-11.30814000
-242.42603098,-0.05835673,-12.10170000
-242.32603098,-0.06494933,-12.91051000
-242.22603098,-0.06934440,-14.52814000
-242.12603098,-0.07483824,-14.80283000
-242.02603099,-0.08259065,-16.67989000
-241.92603099,-0.08588695,-17.48871000
-241.82603099,-0.09247955,-19.09107000
-241.72603100,-0.09797338,-20.70870000
-241.62603100,-0.10456600,-21.79221000
-241.52603100,-0.10676350,-22.86045000
-241.42603100,-0.11225740,-24.20339000
-241.32603101,-0.11891100,-25.01221000
-241.22603101,-0.12220730,-26.62984000
-241.12603101,-0.12989870,-28.24747000
-241.02603101,-0.13539250,-29.31571000
-240.92603102,-0.13978760,-30.93334000
-240.82603102,-0.14638020,-32.27628000
-240.72603102,-0.15187400,-34.42803000
-240.62603102,-0.15633010,-34.96215000
-240.52603103,-0.15962640,-36.83921000
-240.42603103,-0.16621900,-38.18215000
-240.32603103,-0.17171280,-40.07447000
-240.22603103,-0.17391040,-40.88329000
-240.12603104,-0.18160180,-43.29446000
-240.02603104,-0.18599680,-44.91210000
-239.92603104,-0.19039190,-45.18679000
-239.82603104,-0.19704550,-47.32328000
-239.72603105,-0.20144060,-48.68148000
-239.62603105,-0.20693440,-49.74972000
-239.52603105,-0.21132950,-51.36735000
-239.42603105,-0.21572460,-52.43560000
-239.32603106,-0.22231720,-54.58735000
-239.22603106,-0.22671220,-54.32792000
-239.12603106,-0.23110730,-55.93028000
-239.02603106,-0.23666220,-56.20498000
-238.92603107,-0.24215600,-57.54792000
-238.82603107,-0.24655110,-58.08204000
-238.72603107,-0.25094620,-59.42497000
-238.62603107,-0.25644000,-60.76791000
-238.52603108,-0.26193380,-63.72848000
-238.42603108,-0.26852640,-65.07141000
-238.32603108,-0.27298250,-66.41435000
-238.22603108,-0.27627890,-68.84080000
-238.12603109,-0.28177270,-69.11549000
-238.02603109,-0.28506900,-70.45842000
-237.92603109,-0.29056280,-70.99255000
-237.82603109,-0.29495790,-70.45842000
-237.72603110,-0.30264930,-71.26724000
-237.62603110,-0.30374800,-72.06079000
-237.52603110,-0.30924180,-72.61018000
-237.42603110,-0.31479670,-73.41899000
-237.32603111,-0.32138930,-74.48724000
-237.22603111,-0.32578440,-74.76193000
-237.12603111,-0.32798190,-75.29605000
-237.02603111,-0.33237700,-76.10487000
-236.92603112,-0.33896960,-77.70724000
-236.82603112,-0.34446340,-79.32487000
-236.72603112,-0.34775970,-79.59956000
-236.62603112,-0.35001830,-79.32487000
-236.52603113,-0.35661090,-80.66780000
-236.42603113,-0.36210470,-81.20192000
-236.32603113,-0.36540100,-72.86961000
-236.22603113,-0.36979610,-73.14429000
-236.12603114,-0.37419120,-74.21255000
-236.02603114,-0.37858620,-75.55548000
-235.92603114,-0.38298130,-75.55548000
-235.82603114,-0.38737640,-77.17311000
-235.72603115,-0.39183250,-76.63899000
-235.62603115,-0.39512880,-76.36430000
-235.52603115,-0.39952390,-77.17311000
-235.42603115,-0.40611650,-76.10487000
-235.32603116,-0.41051150,-75.83017000
-235.22603116,-0.41270910,-76.91368000
-235.12603116,-0.41820290,-77.98193000
-235.02603116,-0.42149920,-78.51604000
-234.92603117,-0.42699300,-78.79074000
-234.82603117,-0.43144910,-77.70724000
-234.72603117,-0.43474540,-79.59956000
-234.62603117,-0.43914050,-80.94249000
-234.52603118,-0.44353560,-81.75130000
-234.42603118,-0.44573310,-82.01074000
-234.32603118,-0.45012820,-83.09424000
-234.22603118,-0.45452330,-83.90305000
-234.12603119,-0.45781960,-84.43718000
-234.02603119,-0.46111580,-84.97131000
-233.92603119,-0.46776950,-87.12305000
-233.82603119,-0.46996700,-86.05481000
-233.72603120,-0.47546090,-86.84837000
-233.62603120,-0.47765840,-88.46599000
-233.52603120,-0.48095470,-88.20656000
-233.42603120,-0.48644850,-87.93187000
-233.32603121,-0.48974480,-87.39775000
-233.22603121,-0.49413990,-87.39775000
-233.12603121,-0.49633740,-84.16249000
-233.02603121,-0.50073250,-83.09424000
-232.92603122,-0.50402880,-83.09424000
-232.82603122,-0.50738610,-83.62836000
-232.72603122,-0.51068250,-83.35368000
-232.62603122,-0.51507750,-85.24599000
-232.52603123,-0.51947260,-86.05481000
-232.42603123,-0.52276890,-86.84837000
-232.32603123,-0.52606520,-87.39775000
-232.22603123,-0.53046020,-87.93187000
-232.12603124,-0.53265780,-88.74068000
-232.02603124,-0.53815160,-87.39775000
-231.92603124,-0.54034910,-88.74068000
-231.82603125,-0.54254670,-88.74068000
-231.72603125,-0.54590400,-88.46599000
-231.62603125,-0.55029910,-88.20656000
-231.52603125,-0.55359540,-87.93187000
-231.42603126,-0.55579290,-88.46599000
