Frequency,Channel A,Channel B,Channel C
(ms),(V),(V),(V)

-2.50133941,0.01208644,0.05591503,0.08607008
-2.50033941,0.00769137,0.04492736,0.07843975
-2.49933941,-0.00115981,0.03509950,0.06751312
-2.49833941,-0.00665364,0.02191430,0.05658650
-2.49733941,-0.01324625,0.01312416,0.04462215
-2.49633941,-0.01764131,0.00213649,0.03479429
-2.49533941,-0.02423391,-0.00879014,0.02386766
-2.49433941,-0.03412282,-0.01867904,0.01300208
-2.49333941,-0.03741912,-0.02746917,0.00317422
-2.49233941,-0.04407276,-0.03955561,-0.00555488
-2.49133941,-0.05066536,-0.05048224,-0.01751923
-2.49033941,-0.05506043,-0.06037114,-0.02734709
-2.48933941,-0.06055427,-0.07026004,-0.03827371
-2.48833941,-0.06714687,-0.07795141,-0.04810157
-2.48733941,-0.07373947,-0.08887804,-0.05896716
-2.48633941,-0.08039311,-0.09876694,-0.06989378
-2.48533941,-0.08698571,-0.10975460,-0.07972164
-2.48433941,-0.09138078,-0.11964350,-0.09064827
-2.48333941,-0.09907215,-0.12953240,-0.10041510
-2.48233941,-0.10456600,-0.14045900,-0.10914420
-2.48133941,-0.11115860,-0.15034790,-0.12116960
-2.48033941,-0.11671350,-0.16023680,-0.12989870
-2.47933941,-0.12220730,-0.17232330,-0.14186300
-2.47833941,-0.12989870,-0.18105240,-0.15278970
-2.47733941,-0.13539250,-0.19313880,-0.16151870
-2.47633941,-0.14198510,-0.20192890,-0.17238430
-2.47533941,-0.14638020,-0.21181780,-0.18331100
-2.47433941,-0.15407150,-0.22274450,-0.19094130
-2.47333941,-0.15962640,-0.23263340,-0.20296670
-2.47233941,-0.16512020,-0.24252230,-0.21279450
-2.47133941,-0.17171280,-0.25241120,-0.22146260
-2.47033941,-0.17830540,-0.26443660,-0.23458670
-2.46933941,-0.18379930,-0.27212790,-0.24441460
-2.46833941,-0.18929310,-0.28311560,-0.25418140
-2.46733941,-0.19484800,-0.29190580,-0.26510800
-2.46633941,-0.20253940,-0.30283240,-0.27273840
-2.46533941,-0.20803320,-0.31272130,-0.28366500
-2.46433941,-0.21242830,-0.32151140,-0.29349290
-2.46333941,-0.22011960,-0.33249910,-0.30325970
-2.46233941,-0.22561350,-0.34238800,-0.31198880
-2.46133941,-0.23336590,-0.35111710,-0.32401420
-2.46033941,-0.23776100,-0.36100600,-0.33274330
-2.45933941,-0.24325480,-0.37309240,-0.34147230
-2.45833941,-0.24874860,-0.38078380,-0.35343670
-2.45733941,-0.25534120,-0.39061160,-0.36326460
-2.45633941,-0.26083510,-0.40050050,-0.37309240
-2.45533941,-0.26852640,-0.40929070,-0.38401900
-2.45433941,-0.27408130,-0.41917960,-0.39055060
-2.45333941,-0.28067390,-0.42796970,-0.40141620
-2.45233941,-0.28506900,-0.43779760,-0.41124400
-2.45133941,-0.29166160,-0.44768650,-0.41997310
-2.45033941,-0.29715540,-0.45647660,-0.42980100
-2.44933941,-0.30264930,-0.46636550,-0.44072760
-2.44833941,-0.30814310,-0.47619340,-0.44939570
-2.44733941,-0.31479670,-0.48608230,-0.45708700
-2.44633941,-0.32029060,-0.49267490,-0.46795260
-2.44533941,-0.32578440,-0.50366250,-0.47668170
-2.44433941,-0.33237700,-0.51245270,-0.48431210
-2.44333941,-0.33896960,-0.52228060,-0.49523870
-2.44233941,-0.34446340,-0.52997190,-0.50396780
-2.44133941,-0.34885850,-0.54095960,-0.51269690
-2.44033941,-0.35441340,-0.54974970,-0.52252470
-2.43933941,-0.36210470,-0.55744110,-0.53119280
-2.43833941,-0.36540100,-0.56617020,-0.53888420
-2.43733941,-0.37089490,-0.57715790,-0.55084850
-2.43633941,-0.37748750,-0.58265170,-0.55847880
-2.43533941,-0.38298130,-0.59254060,-0.56610910
-2.43433941,-0.38963500,-0.60023190,-0.57593700
-2.43333941,-0.39512880,-0.60896100,-0.58246860
-2.43233941,-0.40062260,-0.61665240,-0.59119770
-2.43133941,-0.40721520,-0.62434380,-0.59992670
-2.43033941,-0.41270910,-0.63313390,-0.60645830
-2.42933941,-0.41820290,-0.63862780,-0.61518740
-2.42833941,-0.42259800,-0.64741790,-0.62281770
-2.42733941,-0.42925160,-0.65614700,-0.63154680
-2.42633941,-0.43474540,-0.66273960,-0.63917710
-2.42533941,-0.43914050,-0.66933220,-0.64680740
-2.42433941,-0.44573310,-0.67922110,-0.65443780
-2.42333941,-0.45232570,-0.68471490,-0.66206810
-2.42233941,-0.45781960,-0.69454280,-0.67079720
-2.42133941,-0.46111580,-0.70223410,-0.67952630
-2.42033941,-0.46667070,-0.71212300,-0.68825540
-2.41933941,-0.47436210,-0.71871570,-0.69588570
-2.41833941,-0.47655960,-0.72530820,-0.70461480
-2.41733941,-0.48315220,-0.73623490,-0.71224510
-2.41633941,-0.48974480,-0.74282750,-0.72207300
-2.41533941,-0.49523870,-0.74942010,-0.72646810
-2.41433941,-0.49963370,-0.75601270,-0.73623490
-2.41333941,-0.50512750,-0.76260530,-0.74282750
-2.41233941,-0.51068250,-0.77139540,-0.74826030
-2.41133941,-0.51507750,-0.77688930,-0.75589060
-2.41033941,-0.52167010,-0.78232200,-0.76132340
-2.40933941,-0.52716400,-0.78781590,-0.76681720
-2.40833941,-0.53155900,-0.79330970,-0.77548530
-2.40733941,-0.53705290,-0.79990230,-0.77878160
-2.40633941,-0.54144790,-0.80759370,-0.78421440
-2.40533941,-0.54590400,-0.81089000,-0.79184470
-2.40433941,-0.55469420,-0.81638380,-0.79733850
-2.40333941,-0.55689170,-0.82077890,-0.80277130
-2.40233941,-0.56238560,-0.82621170,-0.80496880
-2.40133941,-0.56568180,-0.82950800,-0.80930290
-2.40033941,-0.57227440,-0.83170550,-0.81369790
-2.39933941,-0.57886700,-0.83280430,-0.81369790
-2.39833941,-0.58216330,-0.83390310,-0.81479670
-2.39733941,-0.58661940,-0.83390310,-0.81369790
-2.39633941,-0.59321210,-0.83280430,-0.81259920
-2.39533941,-0.59980460,-0.83060680,-0.81150040
-2.39433941,-0.60200220,-0.82950800,-0.81150040
-2.39333941,-0.60639730,-0.82840920,-0.80930290
-2.39233941,-0.61298980,-0.82511290,-0.80716640
-2.39133941,-0.61628620,-0.82511290,-0.80606760
-2.39033941,-0.62403860,-0.82291540,-0.80716640
-2.38933941,-0.62623610,-0.82181660,-0.80387010
-2.38833941,-0.63282870,-0.82181660,-0.80387010
-2.38733941,-0.63612500,-0.81968010,-0.80387010
-2.38633941,-0.64052010,-0.82077890,-0.80167260
-2.38533941,-0.64601390,-0.81968010,-0.80057380
-2.38433941,-0.64931020,-0.81638380,-0.80057380
-2.38333941,-0.65810040,-0.81528510,-0.79843730
-2.38233941,-0.66145770,-0.81528510,-0.79843730
-2.38133941,-0.66695150,-0.81528510,-0.79623970
-2.38033941,-0.66914900,-0.81638380,-0.79953600
-2.37933941,-0.67574170,-0.81638380,-0.79953600
-2.37833941,-0.67903790,-0.81748260,-0.80277130
-2.37733941,-0.68343310,-0.81968010,-0.80387010
-2.37633941,-0.68782810,-0.82181660,-0.80496880
-2.37533941,-0.69112440,-0.82077890,-0.80606760
-2.37433941,-0.69771700,-0.82291540,-0.80606760
-2.37333941,-0.69997560,-0.82291540,-0.80716640
-2.37233941,-0.70437060,-0.82401410,-0.81040170
-2.37133941,-0.70986450,-0.82511290,-0.80930290
-2.37033941,-0.71535830,-0.82621170,-0.81259920
-2.36933941,-0.71865460,-0.83170550,-0.81479670
-2.36833941,-0.71975340,-0.83390310,-0.81693320
-2.36733941,-0.72634600,-0.83829810,-0.82132830
-2.36633941,-0.72964230,-0.84049560,-0.82456350
-2.36533941,-0.73513610,-0.84489070,-0.83005740
-2.36433941,-0.73959220,-0.84928580,-0.83439140
-2.36333941,-0.74398730,-0.85258210,-0.83878650
