Frequency,Channel A,Channel B,Channel C
(ms),(V),(mV),(mV)

-100.03026575,1.14558700,123.23280000,122.56130000
-100.01026575,1.14558700,124.21560000,123.21450000
-99.99026575,1.14668500,125.63790000,125.07020000
-99.97026575,1.14778400,125.74780000,125.94310000
-99.95026575,1.14558700,125.85150000,126.48640000
-99.93026575,1.14888300,125.63790000,126.81600000
-99.91026575,1.14888300,125.30830000,125.39370000
-99.89026575,1.14778400,125.41810000,124.74060000
-99.87026575,1.14998200,126.07130000,127.24940000
-99.85026575,1.14998200,125.74780000,127.79880000
-99.83026575,1.14998200,127.93310000,127.13950000
-99.81026575,1.15108000,125.74780000,128.88540000
-99.79026575,1.14998200,125.85150000,124.85040000
-99.77026576,1.14998200,125.08850000,124.08740000
-99.75026576,1.15217900,125.41810000,124.52080000
-99.73026576,1.15108000,126.51080000,125.50360000
-99.71026576,1.15327800,127.06020000,126.70610000
-99.69026576,1.15217900,127.16400000,127.68890000
-99.67026576,1.15108000,129.46530000,129.86810000
-99.65026576,1.15217900,129.57510000,129.76440000
-99.63026576,1.15437700,127.60350000,127.35930000
-99.61026576,1.15437700,126.07130000,126.48640000
-99.59026576,1.15437700,126.29100000,124.63070000
-99.57026576,1.15437700,125.19840000,124.96030000
-99.55026576,1.15437700,126.73060000,125.18010000
-99.53026576,1.15327800,127.16400000,126.48640000
-99.51026576,1.15547500,126.95030000,125.50360000
-99.49026576,1.15657400,127.93310000,127.46920000
-99.47026576,1.15657400,128.04300000,129.21500000
-99.45026576,1.15657400,127.93310000,127.35930000
-99.43026576,1.15657400,127.71330000,127.46920000
-99.41026576,1.15767300,127.06020000,127.68890000
-99.39026576,1.15767300,127.16400000,127.35930000
-99.37026577,1.15657400,126.40090000,126.05300000
-99.35026577,1.15877200,127.71330000,126.81600000
-99.33026577,1.15987100,127.93310000,126.26660000
-99.31026577,1.15877200,126.51080000,125.83320000
-99.29026577,1.15987100,127.38370000,125.28380000
-99.27026577,1.15877200,128.15280000,128.34210000
-99.25026577,1.15987100,127.27380000,127.35930000
-99.23026577,1.16096900,127.82320000,127.24940000
-99.21026577,1.16096900,127.93310000,127.13950000
-99.19026577,1.15987100,129.35540000,129.54460000
-99.17026577,1.16096900,129.78880000,134.56230000
-99.15026577,1.16206800,129.67890000,130.08790000
-99.13026577,1.16096900,128.36650000,128.34210000
-99.11026577,1.16206800,127.16400000,126.05300000
-99.09026577,1.16096900,128.47640000,126.37650000
-99.07026577,1.16206800,127.93310000,127.24940000
-99.05026577,1.16426600,126.29100000,125.94310000
-99.03026577,1.16316700,125.96140000,126.37650000
-99.01026577,1.16206800,127.71330000,127.57910000
-98.99026577,1.16426600,127.71330000,125.83320000
-98.97026578,1.16426600,128.15280000,126.92590000
-98.95026578,1.16316700,128.36650000,127.24940000
-98.93026578,1.16536400,128.04300000,131.40030000
-98.91026578,1.16536400,128.36650000,128.78160000
-98.89026578,1.16652400,127.82320000,127.24940000
-98.87026578,1.16762300,127.49360000,125.50360000
-98.85026578,1.16652400,127.82320000,125.39370000
-98.83026578,1.16652400,128.80600000,127.13950000
-98.81026578,1.16762300,129.02580000,128.01250000
-98.79026578,1.16762300,129.24550000,128.12230000
-98.77026578,1.16872200,128.58630000,127.03580000
-98.75026578,1.16872200,130.11840000,130.85090000
-98.73026578,1.16872200,130.33820000,130.52740000
-98.71026578,1.16762300,130.77770000,130.52740000
-98.69026578,1.16872200,130.77770000,130.96080000
-98.67026578,1.16982100,129.35540000,128.99520000
-98.65026578,1.16872200,130.99130000,129.32490000
-98.63026578,1.16872200,130.33820000,129.76440000
-98.61026578,1.16872200,130.22830000,129.10510000
-98.59026578,1.17091900,130.55790000,129.54460000
-98.57026579,1.16982100,131.87030000,131.07070000
-98.55026579,1.17091900,131.65060000,131.29040000
-98.53026579,1.17091900,130.99130000,130.96080000
-98.51026579,1.17311700,132.63340000,131.94360000
-98.49026579,1.17091900,131.54070000,131.72380000
-98.47026579,1.17201800,132.30380000,132.38310000
-98.45026579,1.17311700,132.41360000,132.48690000
-98.43026579,1.17311700,131.32100000,131.51020000
-98.41026579,1.17311700,131.76050000,130.74110000
-98.39026579,1.17311700,132.19390000,131.18060000
-98.37026579,1.17421600,131.76050000,131.83370000
-98.35026579,1.17311700,131.87030000,131.72380000
-98.33026579,1.17421600,133.94580000,134.56230000
-98.31026579,1.17421600,133.83590000,133.57950000
-98.29026579,1.17531400,135.14830000,134.56230000
-98.27026579,1.17531400,133.18280000,132.81650000
-98.25026579,1.17421600,132.30380000,132.92640000
-98.23026579,1.17531400,135.80760000,135.00180000
-98.21026579,1.17641300,135.80760000,135.43520000
-98.19026579,1.17641300,134.49520000,133.36590000
-98.17026580,1.17641300,135.47800000,135.98460000
-98.15026580,1.17641300,134.70880000,134.12890000
-98.13026580,1.17641300,136.46070000,135.11170000
-98.11026580,1.17641300,136.13110000,136.30810000
-98.09026580,1.17641300,135.69770000,136.19830000
-98.07026580,1.17861100,135.91140000,135.76490000
-98.05026580,1.17751200,136.13110000,135.98460000
-98.03026580,1.17751200,134.38530000,134.89200000
-98.01026580,1.17641300,136.46070000,135.76490000
-97.99026580,1.17861100,136.02120000,136.08840000
-97.97026580,1.17751200,137.33360000,138.38360000
-97.95026580,1.17861100,137.66330000,136.63780000
